VCP3 Gene Symbol	HGNC	Consensus
AAAS	13666	NM_001173466
AAAS	13666	NM_015665
AARS1	20	NM_001605
AARS2	21022	NM_020745
AASS	17366	NM_005763
ABAT	23	NM_020686
ABCA1	29	NM_005502
ABCB7	48	NM_001271696
ABCB7	48	NM_004299
ABCD1	61	NM_000033
ABCG5	13886	NM_022436
ABCG8	13887	NM_022437
ABHD12	15868	NM_001042472
ACADVL	92	NM_000018
ACOX1	119	NM_004035
ACSF3	27288	NM_174917
ACTA1	129	NM_001100
ACTB	132	NM_001101
ACTN1	163	NM_001130004
ACTN2	164	NM_001103
ACVRL1	175	NM_000020
ADAMTS13	1366	NM_139025
ADAR	225	NM_001111
ADCY5	236	NM_183357
ADSS1	20093	NM_152328
AFG3L2	315	NM_006796
AGTPBP1	17258	NM_015239
AGXT	341	NM_000030
AIFM1	8768	NM_004208
AIMP1	10648	NM_001142416
ALDH18A1	9722	NM_002860
ALDH3A2	403	NM_000382
ALS2	443	NM_020919
AMPD2	469	NM_001368809
ANG	483	NM_001145
ANKRD26	29186	NM_014915
ANO10	25519	NM_018075
ANO3	14004	NM_031418
ANO5	27337	NM_213599
ANO6	25240	NM_001025356
ANXA11	535	NM_145869
AP1S1	559	NM_001283
AP1S2	560	NM_003916
AP3B1	566	NM_003664
AP3D1	568	NM_001261826
AP4B1	572	NM_006594
AP4E1	573	NM_007347
AP4M1	574	NM_004722
AP4S1	575	NM_001128126
AP5Z1	22197	NM_014855
APOA1	600	NM_000039
APP	620	NM_000484
APTX	15984	NM_175073
ARG1	663	NM_000045
ARHGEF10	14103	NM_014629
ARHGEF28	30322	NM_001080479
ARL6IP1	697	NM_015161
ARPC1B	704	NM_005720
ARSA	713	NM_000487
ARX	18060	NM_139058
ATAD1	25903	NM_032810
ATCAY	779	NM_033064
ATL1	11231	NM_015915
ATL1	11231	NM_001127713
ATL3	24526	NM_015459
ATM	795	NM_000051
ATP13A2	30213	NM_022089
ATP1A1	799	NM_000701
ATP1A2	800	NM_000702
ATP1A3	801	NM_152296
ATP2B3	816	NM_021949
ATP6AP2	18305	NM_005765
ATP7A	869	NM_000052
ATP7B	870	NM_000053
ATXN1	10548	NM_000332
ATXN10	10549	NM_013236
ATXN7	10560	NM_000333
AUH	890	NM_001698
B3GALNT2	28596	NM_152490
B4GALNT1	4117	NM_001478
B4GAT1	15685	NM_006876
BAG3	939	NM_004281
BCAP31	16695	NM_005745
BCKDHB	987	NM_183050
BCS1L	1020	NM_004328
BICD2	17208	NM_001003800
BIN1	1052	NM_139343
BLM	1058	NM_000057
BLOC1S3	20914	NM_212550
BLOC1S6	8549	NM_012388
BRCA1	1100	NM_007294
BRCA2	1101	NM_000059
BRIP1	20473	NM_032043
BSCL2	15832	NM_001122955
BSCL2	15832	NM_032667
C12orf65	26784	NM_152269
C19orf12	25443	NM_001031726
C9orf72	28337	NM_001256054
CA8	1382	NM_004056
CACNA1A	1388	NM_001127221
CACNA1G	1394	NM_018896
CACNA1S	1397	NM_000069
CACNB4	1404	NM_000726
CAPN1	1476	NM_005186
CAPN3	1480	NM_000070
CASQ1	1512	NM_001231
CAV3	1529	NM_033337
CCDC78	14153	NM_001031737
CCDC88C	19967	NM_001080414
CCNF	1591	NM_001761
CD59	1689	NM_203330
CDC42	1736	NM_001791
CDC42	1736	NM_044472
CDKN2A	1787	NM_000077
CDKN2A	1787	NM_058195
CFL2	1875	NM_138638
CHCHD10	15559	NM_213720
CHCHD2	21645	NM_016139
CHKB	1938	NM_005198
CHMP2B	24537	NM_014043
CHST14	24464	NM_130468
CIZ1	16744	NM_012127
CLCN2	2020	NM_004366
CLN3	2074	NM_000086
CLN3	2074	NM_001042432
CLN5	2076	NM_006493
CLN6	2077	NM_017882
CLN8	2079	NM_018941
CLPB	30664	NM_001258392
CNTN1	2171	NM_001843
CNTNAP1	8011	NM_003632
COA7	25716	NM_023077
COASY	29932	NM_025233
COL12A1	2188	NM_004370
COL1A1	2197	NM_000088
COL3A1	2201	NM_000090
COL4A1	2202	NM_001845
COL4A2	2203	NM_001846
COL5A1	2209	NM_000093
COL5A1	2209	NM_001278074
COL5A2	2210	NM_000393
COL6A1	2211	NM_001848
COL6A2	2212	NM_001849
COL6A3	2213	NM_004369
COQ2	25223	NM_015697
COX10	2260	NM_001303
COX15	2263	NM_078470
COX15	2263	NM_004376
COX6A1	2277	NM_004373
CP	2295	NM_000096
CPOX	2321	NM_000097
CPT1C	18540	NM_152359
CPT2	2330	NM_000098
CRYAB	2389	NM_001885
CSF1R	2433	NM_005211
CSNK1D	2452	NM_139062
CSTB	2482	NM_000100
CTC1	26169	NM_025099
CTDP1	2498	NM_004715
CTSA	9251	NM_000308
CTSD	2529	NM_001909
CTSF	2531	NM_003793
CWF19L1	25613	NM_018294
CYCS	19986	NM_018947
CYP27A1	2605	NM_000784
CYP2U1	20582	NM_183075
CYP7B1	2652	NM_004820
DAG1	2666	NM_001165928
DAO	2671	NM_001917
DARS1	2678	NM_001349
