Instructions:,,,,,,,,,,
"Add genes symbols and/or transcripts to a panel in Moka
Add panel description to Moka
Answer following questions:",VCP3_R58,,,,,,,,,
,,,,,,,,,,
1. Pan number of bed file to be created,N/A,,,,,,,,,
2. Panel description/name (fill in a-c from Moka),,,,,,,,,,
2. a) Category,VCP3 Viapath,,,,,,,,,
2. b) SubCategory,R58_Neurodegenerative disorder - Adult onset,,,,,,,,,
2. c) Panel,VCP3 Viapath R58_Neurodegenerative disorder - Adult onset,,,,,,,,,
3a). Is this BED file used for Exome depth?,YES,
3b). Is this BED file used to generate read counts or filter calls?,filter calls,
4. a) Is this BED file exclusively based on coordinates provided by a supplier ,No,,,,,,,,,
4. b) If yes, does this need further padding?",N/A,,,,,,,,,
5. a) Should specific transcripts be used to create the bed file? (as opposed to all transcripts) Specific transcripts - see Moka,Yes - see below,,,,,,,,,
5. b) If specific transcripts are to be used have you provided multiple transcripts for the same gene? (if Yes please state),Yes,,,,,,,,,
6. What padding is required around the exons?,30bp,,,,,,,,,
7. a) Should UTRs be included for ALL genes?,No,,,,,,,,,
7. b) Should UTRs be padded?,No,,,,,,,,,
8. a) Are UTRs required for SOME genes? ,No,,,,,,,,,
8. b) Please list genes/transcripts,N/A,,,,,,,,,
8. c) Should UTRs be padded?,No,,,,,,,,,
9. Any additional BED files to be included in this BED file? ,3608,,,,,,,,,
10. Are any further regions required to be added?,No,,,,,,,,,
Requested by:,Michael Yau,,,,,,,,,
Requested date:,10/06/2021,,,,,,,,,
,,,,,,,,,,
,Gene Name,Transcript,,,,,,,,
,ABCD1,,,,,,,,,
,AFG3L2,,,,,,,,,
,ALS2,,,,,,,,,
,ANG,,,,,,,,,
,ANXA11,,,,,,,,,
,APP,,,,,,,,,
,ARSA,,,,,,,,,
,ATP13A2,,,,,,,,,
,ATP1A3,,,,,,,,,
,ATP7B,,,,,,,,,
,AUH,,,,,,,,,
,C19orf12,,,,,,,,,
,CACNA1G,,,,,,,,,
,CCNF,,,,,,,,,
,CHCHD10,,,,,,,,,
,CHCHD2,,,,,,,,,
,CHMP2B,,,,,,,,,
,CLCN2,,,,,,,,,
,CLN6,,,,,,,,,
,COASY,,,,,,,,,
,CP,,,,,,,,,
,CSF1R,,,,,,,,,
,CTSF,,,,,,,,,
,CYP27A1,,,,,,,,,
,CYP7B1,,,,,,,,,
,DARS2,,,,,,,,,
,DCTN1,,,,,,,,,
,DNAJC5,,,,,,,,,
,DNAJC6,,,,,,,,,
,DNMT1,,,,,,,,,
,EIF2B1,,,,,,,,,
,EIF2B2,,,,,,,,,
,EIF2B3,,,,,,,,,
,EIF2B4,,,,,,,,,
,EIF2B5,,,,,,,,,
,ELOVL4,,,,,,,,,
,EPM2A,,,,,,,,,
,FBXO7,,,,,,,,,
,FIG4,,,,,,,,,
,FTL,,,,,,,,,
,FUS,,,,,,,,,
,GCH1,,,,,,,,,
,GFAP,,,,,,,,,
,GRN,,,,,,,,,
,HEXA,,,,,,,,,
,HEXB,,,,,,,,,
,HNRNPA1,,,,,,,,,
,HTRA1,,,,,,,,,
,ITM2B,,,,,,,,,
,KCNC3,,,,,,,,,
,KCND3,,,,,,,,,
,KIAA1161,,,,,,,,,
,KIF5A,,,,,,,,,
,LRRK2,,,,,,,,,
,LYST,,,,,,,,,
,MAPT,,,,,,,,,
,NHLRC1,,,,,,,,,
,NOTCH3,,,,,,,,,
,NPC1,,,,,,,,,
,NPC2,,,,,,,,,
,OPTN,,,,,,,,,
,PANK2,,,,,,,,,
,PARK7,,,,,,,,,
,PDGFB,,,,,,,,,
,PDGFRB,,,,,,,,,
,PFN1,,,,,,,,,
,PINK1,,,,,,,,,
,PLA2G6,,,,,,,,,
,PRKN,,,,,,,,,
,PRNP,,,,,,,,,
,PSEN1,,,,,,,,,
,PSEN2,,,,,,,,,
,RNF216,,,,,,,,,
,SETX,,,,,,,,,
,SLC20A2,,,,,,,,,
,SNCA,,,,,,,,,
,SOD1,,,,,,,,,
,SPAST,,,,,,,,,
,SPG11,,,,,,,,,
,SQSTM1,,,,,,,,,
,SYNJ1,,,,,,,,,
,TARDBP,,,,,,,,,
,TBK1,,,,,,,,,
,TMEM240,,,,,,,,,
,TREM2,,,,,,,,,
,TTC19,,,,,,,,,
,TYROBP,,,,,,,,,
,UBQLN2,,,,,,,,,
,VAPB,,,,,,,,,
,VCP,,,,,,,,,
,VPS13A,,,,,,,,,
,VPS35,,,,,,,,,
,WDR45,,,,,,,,,
,XPR1,,,,,,,,,
