DOC333,Revision1,,
Instructions:,,,
Add genes symbols and/or transcripts to a panel in Moka,,,
Add panel description to Moka,,,
Answer following questions,,,
Please save this as a CSV file.,,,
,,,
1. Pan number of bed file to be created,Pan5149,,
2. Panel description/name (fill in a-c from Moka),,,
2. a) Category,VCP3,,
2. b) SubCategory,3/5UTR +/-30bp Pan3608 + Pan5167 with additional genes,,
2. c) Panel,VCP3_Variant_+/-30bp_3/5UTR +/-30bp Pan3608 + Pan5167 with additional genes,,
3a). Is this BED file used for Exome depth?,Yes,,
3b). Is this BED file used to generate read counts or filter calls?,Readcount,,
4. a) Is this BED file exclusively based on coordinates provided by a supplier? ,No,,
4. b) If yes does this need further padding?,No,,
5. a) Should specific transcripts be used to create the bed file? (as opposed to all transcripts for a gene),Yes,,
5. b) If specific transcripts are to be used have you provided multiple transcripts for the same gene? (if Yes please state),Yes,,
"6. What padding is required around the exons?(usually 10,30 or 50bp)",30bp,,
7. a) Should UTRs be included for ALL genes?,Yes,,
7. b) Should UTRs be padded? and if so by how much,30bp 3and5UTR,,
8. a) Are UTRs required for SOME genes? ,NA,,
8. b) Please list genes/transcripts,NA,,
8. c) Should UTRs be padded? and if so by how much,No,,
9. Any additional BED files to be included in this BED file?,Pan3608 Pan5167,,
10. Are any further regions required to be added?,Yes - see below (Pan5167),,
11. Are there any regions in the below transcripts that should be excluded?,No,,
Requested by:,Michael Yau,,
Requested date:,11/08/2023,,
,,,
Please list gene and transcripts below.,,,
HGNC Approved symbol,Transcript,HGNC ID,
AAAS,NM_015665,HGNC:13666,
AARS1,NM_001605,HGNC:20,
AARS2,NM_020745,HGNC:21022,
AASS,NM_005763,HGNC:17366,
ABAT,NM_020686,HGNC:23,
ABCA1,NM_005502,HGNC:29,
ABCB7,NM_001271696,HGNC:48,
ABCD1,NM_000033,HGNC:61,
ABCG5,NM_022436,HGNC:13886,
ABCG8,NM_022437,HGNC:13887,
ABHD12,NM_001042472,HGNC:15868,
ACADVL,NM_000018,HGNC:92,
ACOX1,NM_004035,HGNC:119,
ACSF3,NM_001243279,HGNC:27288,
ACTA1,NM_001100,HGNC:129,
ACTB,NM_001101,HGNC:132,
ACTN1,NM_001102,HGNC:163,
ACTN2,NM_001103,HGNC:164,
ACVRL1,NM_001077401,HGNC:175,
ADAMTS13,NM_139025,HGNC:1366,
ADAR,NM_001111,HGNC:225,
ADCY5,NM_183357,HGNC:236,
ADSS1,NM_152328,HGNC:20093,
AFG3L2,NM_006796,HGNC:315,
AGTPBP1,NM_001330701,HGNC:17258,
AGXT,NM_000030,HGNC:341,
AIFM1,NM_004208,HGNC:8768,
AIMP1,NM_001142416,HGNC:10648,
ALDH18A1,NM_002860,HGNC:9722,
ALDH3A2,NM_000382,HGNC:403,
ALS2,NM_020919,HGNC:443,
AMPD2,NM_001368809,HGNC:469,
ANG,NM_001145,HGNC:483,
ANKRD26,NM_001256053,HGNC:29186,
ANO10,NM_018075,HGNC:25519,
ANO3,NM_031418,HGNC:14004,
ANO5,NM_213599,HGNC:27337,
ANO6,NM_001025356,HGNC:25240,
ANXA11,NM_145869,HGNC:535,
AP1S1,NM_001283,HGNC:559,
AP1S2,NM_003916,HGNC:560,
AP3B1,NM_003664,HGNC:566,
AP3D1,NM_003938,HGNC:568,
AP4B1,NM_006594,HGNC:572,
AP4E1,NM_007347,HGNC:573,
AP4M1,NM_004722,HGNC:574,
AP4S1,NM_001128126,HGNC:575,
AP5Z1,NM_014855,HGNC:22197,
APOA1,NM_000039,HGNC:600,
APP,NM_000484,HGNC:620,
APTX,NM_175073,HGNC:15984,
ARG1,NM_000045,HGNC:663,
ARHGEF10,NM_014629,HGNC:14103,
ARHGEF28,NM_001177693,HGNC:30322,
ARL6IP1,NM_015161,HGNC:697,
ARPC1B,NM_005720,HGNC:704,
ARSA,NM_000487,HGNC:713,
ARX,NM_139058,HGNC:18060,
ASCC3,NM_006828,HGNC:18697,
ATAD1,NM_032810,HGNC:25903,
ATCAY,NM_033064,HGNC:779,
ATL1,NM_015915,HGNC:11231,
ATL3,NM_015459,HGNC:24526,
ATM,NM_000051,HGNC:795,
ATP13A2,NM_022089,HGNC:30213,
ATP1A1,NM_000701,HGNC:799,
ATP1A2,NM_000702,HGNC:800,
ATP1A3,NM_152296,HGNC:801,
ATP2B3,NM_001001344,HGNC:816,
ATP6AP2,NM_005765,HGNC:18305,
ATP7A,NM_000052,HGNC:869,
ATP7B,NM_000053,HGNC:870,
ATXN1,NM_001128164,HGNC:10548,
ATXN10,NM_013236,HGNC:10549,
ATXN7,NM_001377405,HGNC:10560,
AUH,NM_001698,HGNC:890,
B3GALNT2,NM_152490,HGNC:28596,
B4GALNT1,NM_001478,HGNC:4117,
B4GAT1,NM_006876,HGNC:15685,
BAG3,NM_004281,HGNC:939,
BCAP31,NM_005745,HGNC:16695,
BCKDHB,NM_183050,HGNC:987,
BCS1L,NM_004328,HGNC:1020,
BICD2,NM_001003800,HGNC:17208,
BIN1,NM_139343,HGNC:1052,
BLM,NM_000057,HGNC:1058,
BLOC1S3,NM_212550,HGNC:20914,
BLOC1S5,NM_201280,HGNC:18561,
BLOC1S6,NM_012388,HGNC:8549,
BRCA1,NM_007294,HGNC:1100,
BRCA2,NM_000059,HGNC:1101,
BRIP1,NM_032043,HGNC:20473,
BSCL2,NM_001122955,HGNC:15832,
C19orf12,NM_001031726,HGNC:25443,
C9orf72,NM_001256054,HGNC:28337,
CA8,NM_004056,HGNC:1382,
CACNA1A,NM_001127221,HGNC:1388,
CACNA1G,NM_018896,HGNC:1394,
CACNA1S,NM_000069,HGNC:1397,
CACNB4,NM_000726,HGNC:1404,
CAPN1,NM_005186,HGNC:1476,
CAPN3,NM_000070,HGNC:1480,
CARS1,NM_001014437,HGNC:1493,
CASQ1,NM_001231,HGNC:1512,
CAV3,NM_033337,HGNC:1529,
CAVIN1,NM_012232,HGNC:9688,
CCDC78,NM_001031737,HGNC:14153,
CCDC88C,NM_001080414,HGNC:19967,
CCNF,NM_001761,HGNC:1591,
CD59,NM_000611,HGNC:1689,
CDC42,NM_001791,HGNC:1736,
CDKN2A,NM_000077,HGNC:1787,
CDKN2A,NM_058195,HGNC:1787,
CFL2,NM_138638,HGNC:1875,
CHCHD10,NM_213720,HGNC:15559,
CHCHD2,NM_016139,HGNC:21645,
CHKB,NM_005198,HGNC:1938,
CHMP2B,NM_014043,HGNC:24537,
CHST14,NM_130468,HGNC:24464,
CHTF18,NM_022092,HGNC:18435,
CIZ1,NM_001131016,HGNC:16744,
CLCN2,NM_004366,HGNC:2020,
CLN3,NM_001042432,HGNC:2074,
CLN5,NM_006493,HGNC:2076,
CLN6,NM_017882,HGNC:2077,
CLN8,NM_018941,HGNC:2079,
CLPB,NM_001258392,HGNC:30664,
CNTN1,NM_001843,HGNC:2171,
CNTNAP1,NM_003632,HGNC:8011,
COA7,NM_023077,HGNC:25716,
COASY,NM_025233,HGNC:29932,
COL12A1,NM_004370,HGNC:2188,
COL1A1,NM_000088,HGNC:2197,
COL25A1,NM_198721,HGNC:18603,
COL3A1,NM_000090,HGNC:2201,
COL4A1,NM_001845,HGNC:2202,
COL4A2,NM_001846,HGNC:2203,
COL5A1,NM_000093,HGNC:2209,
COL5A2,NM_000393,HGNC:2210,
COL6A1,NM_001848,HGNC:2211,
COL6A2,NM_001849,HGNC:2212,
COL6A3,NM_004369,HGNC:2213,
COQ2,NM_001358921,HGNC:25223,
COX10,NM_001303,HGNC:2260,
COX15,NM_078470,HGNC:2263,
COX6A1,NM_004373,HGNC:2277,
CP,NM_000096,HGNC:2295,
CPOX,NM_000097,HGNC:2321,
CPT1C,NM_001199753,HGNC:18540,
CPT2,NM_000098,HGNC:2330,
CRPPA,NM_001101426,HGNC:37276,
CRYAB,NM_001289808,HGNC:2389,
CSF1R,NM_005211,HGNC:2433,
CSNK1D,NM_001893,HGNC:2452,
CSTB,NM_000100,HGNC:2482,
CTC1,NM_025099,HGNC:26169,
CTDP1,NM_004715,HGNC:2498,
CTSA,NM_000308,HGNC:9251,
CTSD,NM_001909,HGNC:2529,
CTSF,NM_003793,HGNC:2531,
CWF19L1,NM_018294,HGNC:25613,
CYCS,NM_018947,HGNC:19986,
CYP27A1,NM_000784,HGNC:2605,
CYP2U1,NM_183075,HGNC:20582,
CYP7B1,NM_004820,HGNC:2652,
DAG1,NM_001165928,HGNC:2666,
DAO,NM_001917,HGNC:2671,
DARS1,NM_001349,HGNC:2678,
DARS2,NM_018122,HGNC:25538,
DCAF17,NM_025000,HGNC:25784,
DCTN1,NM_004082,HGNC:2711,
DDB1,NM_001923,HGNC:2717,
DDB2,NM_000107,HGNC:2718,
DDC,NM_001082971,HGNC:2719,
DDHD1,NM_001160147,HGNC:19714,
DDHD2,NM_015214,HGNC:29106,
DEGS1,NM_003676,HGNC:13709,
DES,NM_001927,HGNC:2770,
DGUOK,NM_080916,HGNC:2858,
DHX16,NM_003587,HGNC:2739,
DIAPH1,NM_005219,HGNC:2876,
DLAT,NM_001931,HGNC:2896,
DLD,NM_000108,HGNC:2898,
DMD,NM_004006,HGNC:2928,
