DOC333,Revision1,,,
Instructions:,,,,
Add genes symbols and/or transcripts to a panel in Moka,,,,
Add panel description to Moka,,,,
Answer following questions,,,,
Please save this as a CSV file,,,,
,,,,
1, Pan number of bed file to be created,Pan5211,,
2, Panel description/name (fill in a-c from Moka),,,
2, a) Category,VCP3,,
2, b) SubCategory,No padding +5UTR+Pan3608+Pan5167 with additional genes,,
2, c) Panel,VCP3,Variant,No padding+5UTR+Pan3608+Pan5167 with additional genes
3a), Is this BED file used for Exome depth?,Yes,,
3b), Is this BED file used to generate read counts or filter calls?,Readcount,,
4, a) Is this BED file exclusively based on coordinates provided by a supplier? ,No,,
4, b) If yes does this need further padding?,No,,
5, a) Should specific transcripts be used to create the bed file? (as opposed to all transcripts for a gene),Yes,,
5, b) If specific transcripts are to be used have you provided multiple transcripts for the same gene? (if Yes please state),No,,
"6. What padding is required around the exons?(usually 10,30 or 50bp)",No,,,
7, a) Should UTRs be included for ALL genes?,Yes,,
7, b) Should UTRs be padded? and if so by how much,5UTR,,
8, a) Are UTRs required for SOME genes? ,NA,,
8, b) Please list genes/transcripts,NA,,
8, c) Should UTRs be padded? and if so by how much,,,
9, Any additional BED files to be included in this BED file?,"Pan3608, Pan5167",,
10, Are any further regions required to be added?,No,,
11, Are there any regions in the below transcripts that should be excluded?,No,,
Requested by:,,,,
Requested date:,,,,
,,,,
Please list gene and transcripts below,,,,
HGNC approved symbol,Transcript,HGNC ID,,
IKZF5,NM,1372123,HGNC:14283,
BLOC1S5,NM,201280,HGNC:18561,
GTF2E1,NM,5513,HGNC:4650,
PRIMPOL,NM,152683,HGNC:26575,
NSUN2,NM,17755,HGNC:25994,
RFC1,NM,2913,HGNC:9969,
RFC2,NM,181471,HGNC:9970,
RFC3,NM,2915,HGNC:9971,
RFC4,NM,2916,HGNC:9972,
RFC5,NM,7370,HGNC:9973,
WDR4,NM,18669,HGNC:12756,
NEDD4,NM,6154,HGNC:7727,
CHTF18,NM,22092,HGNC:18435,
MTMR1,NM,1306144,HGNC:7449,
XIRP2,NM,152381,HGNC:14303,
COL25A1,NM,198721,HGNC:18603,
GGPS1,NM,4837,HGNC:4249,
CAVIN1,NM,12232,HGNC:9688,
JAG2,NM,2226,HGNC:6189,
ASCC3,NM,6828,HGNC:18697,
DHX16,NM,3587,HGNC:2739,
GFER,NM,5262,HGNC:4236,
MYL2,NM,432,HGNC:7583,
MYOD1,NM,2478,HGNC:7611,
SLC25A42,NM,178526,HGNC:28380,
SVIL,NM,21738,HGNC:11480,
TNNC2,NM,3279,HGNC:11944,
RAD51,NM,2875,HGNC:9817,
XRCC2,NM,5431,HGNC:12829,
ANKRD26,NM,14915,HGNC:29186,
F11,NM,128,HGNC:3529,
F13A1,NM,129,HGNC:3531,
F5,NM,130,HGNC:3542,
F8,NM,132,HGNC:3546,
GGCX,NM,821,HGNC:4247,
MCFD2,NM,139279,HGNC:18451,
PROS1,NM,313,HGNC:9456,
VWF,NM,552,HGNC:12726,
SNORD118,NR,33294,2,
AAAS,NM,1173466,,
AAAS,NM,15665,,
AARS1,NM,1605,,
AARS2,NM,20745,,
AASS,NM,5763,,
ABAT,NM,20686,,
ABCA1,NM,5502,,
ABCB7,NM,1271696,,
ABCB7,NM,4299,,
ABCD1,NM,33,,
ABCG5,NM,22436,,
ABCG8,NM,22437,,
ABHD12,NM,1042472,,
ACADVL,NM,18,,
ACOX1,NM,4035,,
ACSF3,NM,174917,,
ACTA1,NM,1100,,
ACTB,NM,1101,,
ACTN1,NM,1130004,,
ACTN2,NM,1103,,
ACVRL1,NM,20,,
ADAMTS13,NM,139025,,
ADAR,NM,1111,,
ADCY5,NM,183357,,
ADSS1,NM,152328,,
AFG3L2,NM,6796,,
AGTPBP1,NM,15239,,
AGXT,NM,30,,
AIFM1,NM,4208,,
AIMP1,NM,1142416,,
ALDH18A1,NM,2860,,
ALDH3A2,NM,382,,
ALS2,NM,20919,,
AMPD2,NM,1368809,,
ANG,NM,1145,,
ANKRD26,NM,14915,,
ANO10,NM,18075,,
ANO3,NM,31418,,
ANO5,NM,213599,,
ANO6,NM,1025356,,
ANXA11,NM,145869,,
AP1S1,NM,1283,,
AP1S2,NM,3916,,
AP3B1,NM,3664,,
