Accession	ApprovedSymbol	GuysAccessionVersion
NM_000021	PSEN1	0
NM_017986	SLC52A1	0
NM_024531	SLC52A2	0
NM_033409	SLC52A3	0
NM_000492	CFTR	0
NM_024301	FKRP	0
NM_024408	NOTCH2	0
NM_000077	CDKN2A	0
NM_001923	DDB1	0
NM_000107	DDB2	0
NM_001983	ERCC1	0
NM_000400	ERCC2	0
NM_000122	ERCC3	0
NM_005236	ERCC4	0
NM_000123	ERCC5	0
NM_000124	ERCC6	0
NM_000082	ERCC8	0
NM_207118	GTF2H5	0
NM_002312	LIG4	0
NM_138701	MPLKIP	0
NM_024782	NHEJ1	0
NM_006502	POLH	0
NM_000264	PTCH1	0
NM_020894	UVSSA	0
NM_000380	XPA	0
NM_004628	XPC	0
NM_022550	XRCC4	0
NM_000271	NPC1	0
NM_006432	NPC2	0
NM_012330	KAT6B	0
NM_007272	CTRC	0
NM_002769	PRSS1	0
NM_003122	SPINK1	0
NM_001844	COL2A1	0
NM_000142	FGFR3	0
NM_002180	IGHMBP2	0
NM_000520	HEXA	0
NM_020964	EPG5	0
NM_139058	ARX	0
NM_000252	MTM1	0
NM_003334	UBA1	0
NM_001018113	FANCB	0
