Gene	GuysAccession
AAGAB	NM_024666
ABCA12	NM_173076
ABHD5	NM_016006
AGPS	NM_003659
ALDH3A2	NM_000382
ALMS1	NM_015120
ALOX12B	NM_001139
ALOXE3	NM_001165960
AP1S1	NM_001283
AQP5	NM_001651
ARSE	NM_000047
ATP2A2	NM_001681
ATP2C1	NM_001001486
CARD14	NM_001257970
CDSN	NM_001264
CERS3	NM_178842
CLDN1	NM_021101
CSTA	NM_005213
CTSC	NM_001814
CYP4F22	NM_173483
DSG1	NM_001942
DSP	NM_004415
EBP	NM_006579
ELOVL4	NM_022726
ERCC2	NM_000400
ERCC3	NM_000122
FLG	NM_002016
GBA	NM_000157
GJA1	NM_000165
GJB2	NM_004004
GJB3	NM_024009
GJB4	NM_153212
GJB6	NM_006783
GTF2H5	NM_207118
JUP	NM_002230
KDSR	NM_002035
KRT1	NM_006121
KRT10	NM_000421
KRT16	NM_005557
KRT17	NM_000422
KRT2	NM_000423
KRT6A	NM_005554
KRT6B	NM_005555
KRT6C	NM_173086
KRT9	NM_000226
LIPN	NM_001102469
LOR	NM_000427
MBTPS2	NM_015884
MPLKIP	NM_138701
NIPAL4	NM_001099287
NSDHL	NM_015922
PEX7	NM_000288
PHYH	NM_001037537
PNPLA1	NM_173676
PNPLA2	NM_020376
POMP	NM_015932
RHBDF2	NM_024599
SLC27A4	NM_005094
SLURP1	NM_020427
SMARCAD1	NM_020159
SNAP29	NM_004782
SPINK5	NM_001127698
ST14	NM_021978
STS	NM_000351
SUMF1	NM_182760
TAT	NM_000353
TGM1	NM_000359
TGM5	NM_004245
VPS33B	NM_018668
ZMPSTE24	NM_005857
