GuysAccession	Symbol	GuysAccessionVersion
NM_022436	ABCG5	0
NM_022437	ABCG8	0
NM_001101	ACTB	0
NM_001130004	ACTN1	0
NM_000020	ACVRL1	0
NM_139025	ADAMTS13	0
NM_014915	ANKRD26	0
NM_001025356	ANO6	0
NM_003664	AP3B1	0
NM_001261826	AP3D1	0
NM_005720	ARPC1B	0
NM_212550	BLOC1S3	0
NM_012388	BLOC1S6	0
NM_001791	CDC42	0
NM_018947	CYCS	0
NM_005219	DIAPH1	0
NM_032122	DTNBP1	0
NM_000118	ENG	0
NM_001987	ETV6	0
NM_000504	F10	0
NM_000128	F11	0
NM_000505	F12	0
NM_000129	F13A1	0
NM_001994	F13B	0
NM_000506	F2	0
NM_000130	F5	0
NM_000131	F7	0
NM_000132	F8	0
NM_000133	F9	0
NM_178443	FERMT3	0
NM_000508	FGA	0
NM_005141	FGB	0
NM_000509	FGG	0
NM_001167681	FLI1	0
NM_001465	FYB1	0
NM_002049	GATA1	0
NM_000157	GBA	0
NM_004188	GFI1B	0
NM_000821	GGCX	0
NM_001128227	GNE	0
NM_000173	GP1BA	0
NM_000407	GP1BB	0
NM_016363	GP6	0
NM_000174	GP9	0
NM_005523	HOXA11	0
NM_000195	HPS1	0
NM_032383	HPS3	0
NM_181507	HPS5	0
NM_024747	HPS6	0
NM_000419	ITGA2B	0
NM_000212	ITGB3	0
NM_002035	KDSR	0
NM_000892	KLKB1	0
NM_000893	KNG1	0
NM_005570	LMAN1	0
NM_000081	LYST	0
NM_139279	MCFD2	0
NM_004991	MECOM	0
NM_025260	MPIG6B	0
NM_005373	MPL	0
NM_002473	MYH9	0
NM_015678	NBEA	0
NM_015175	NBEAL2	0
NM_022788	P2RY12	0
NM_024420	PLA2G4A	0
NM_002658	PLAU	0
NM_002732	PRKACG	0
NM_153819	RASGRP2	0
NM_005105	RBM8A	0
NM_001754	RUNX1	0
NM_000602	SERPINE1	0
NM_000934	SERPINF2	0
NM_001129820	SLFN14	0
NM_198291	SRC	0
NM_003156	STIM1	0
NM_006949	STXBP2	0
NM_001060	TBXA2R	0
NM_001130966	TBXAS1	0
NM_000361	THBD	0
NM_000460	THPO	0
NM_003290	TPM4	0
NM_030773	TUBB1	0
NM_001193315	VIPAS39	0
NM_024006	VKORC1	0
NM_018668	VPS33B	0
NM_000552	VWF	0
NM_000377	WAS	0
