GuysAccession	Symbol	GuysAccessionVersion
NM_001014431	AKT1	0
NM_004304	ALK	0
NM_001127511	APC	0
NM_000044	AR	0
NM_001256196	ARAF	0
NM_006015	ARID1A	0
NM_000051	ATM	0
NM_004333	BRAF	0
NM_007294	BRCA1	0
NM_000059	BRCA2	0
NM_015083	CDK12	0
NM_000077	CDKN2A	0
NM_145862	CHEK2	0
NM_001098209	CTNNB1	0
NM_003467	CXCR4	0
NM_006182	DDR2	0
NM_005228	EGFR	0
NM_002354	EPCAM	0
NM_001289936	ERBB2	0
NM_001005915	ERBB3	0
NM_001042599	ERBB4	0
NM_000125	ESR1	0
NM_033632	FBXW7	0
NM_001174066	FGFR1	0
NM_001144913	FGFR2	0
NM_000142	FGFR3	0
NM_001002295	GATA3	0
NM_002072	GNAQ	0
NM_016592	GNAS	0
NM_005343	HRAS	0
NM_001282386	IDH1	0
NM_001289910	IDH2	0
NM_000222	KIT	0
NM_004985	KRAS	0
NM_002755	MAP2K1	0
NM_030662	MAP2K2	0
NM_000245	MET	0
NM_000249	MLH1	0
NM_000251	MSH2	0
NM_000179	MSH6	0
NM_001172567	MYD88	0
NM_000267	NF1	0
NM_002524	NRAS	0
NM_001007792	NTRK1	0
NM_006180	NTRK2	0
NM_001012338	NTRK3	0
NM_024675	PALB2	0
NM_006206	PDGFRA	0
NM_006218	PIK3CA	0
NM_000535	PMS2	0
NM_002691	POLD1	0
NM_006231	POLE	0
NM_000314	PTEN	0
NM_002880	RAF1	0
NM_000321	RB1	0
NM_020630	RET	0
NM_002944	ROS1	0
NM_001294332	SDHA	0
NM_003000	SDHB	0
NM_001035511	SDHC	0
NM_001276503	SDHD	0
NM_005359	SMAD4	0
NM_001128845	SMARCA4	0
NM_001204863	TCEB1	0
NM_001126118	TP53	0
NM_001162427	TSC1	0
NM_000548	TSC2	0
NM_000551	VHL	0
