GuysAccession	Symbol	GuysAccessionVersion
NM_001372123	IKZF5	0
NM_201280	BLOC1S5	0
NM_005513	GTF2E1	0
NM_152683	PRIMPOL	0
NM_017755	NSUN2	0
NM_002913	RFC1	0
NM_181471	RFC2	0
NM_002915	RFC3	0
NM_002916	RFC4	0
NM_007370	RFC5	0
NM_018669	WDR4	0
NM_006154	NEDD4	0
NM_022092	CHTF18	0
NM_001306144	MTMR1	0
NM_152381	XIRP2	0
NM_198721	COL25A1	0
NM_004837	GGPS1	0
NM_012232	CAVIN1	0
NM_002226	JAG2	0
NM_006828	ASCC3	0
NM_003587	DHX16	0
NM_005262	GFER	0
NM_000432	MYL2	0
NM_002478	MYOD1	0
NM_178526	SLC25A42	0
NM_021738	SVIL	0
NM_003279	TNNC2	0
NM_002875	RAD51	0
NM_005431	XRCC2	0
