Transcripts	GeneName
NM_000028	AGL
NM_000034	ALDOA
NM_000035	ALDOB
NM_001976	ENO3
NM_000507	FBP1
NM_000151	G6PC
NM_000152	GAA
NM_000158	GBE1
NM_004130	GYG1
NM_002103	GYS1
NM_021957	GYS2
NM_002294	LAMP2
NM_005566	LDHA
NM_001127605	LIPA
NM_000289	PFKM
NM_000290	PGAM2
NM_002633	PGM1
NM_002637	PHKA1
NM_000292	PHKA2
NM_000293	PHKB
NM_000294	PHKG2
NM_006241	PPP1R2
NM_016203	PRKAG2
NM_002863	PYGL
NM_005609	PYGM
NM_001467	SLC2A2
NM_000340	SLC37A4
NM_002626	PFKL
NM_003918	GYG2
NM_001258459	PHKG1
NM_000291	PGK1
NM_005670	EPM2A
NM_198586	NHLRC1
NM_016579	CD320
NM_018368	LMBRD1  
NM_032601	MCEE
NM_012213	MLYCD  
NM_172250	MMAA
NM_052845	MMAB
NM_015506	MMACHC
NM_015702	MMADHC
NM_000254	MTR        
NM_000255	MUT
NM_003850	SUCLA2
NM_005050	ABCD4
NM_001127214	ACSF3
NM_000071	CBS
NM_005334	HCFC1
NM_005957	MTHFR
NM_024010	MTRR
NM_080669	SLC46A1
NM_000355	TCN2
NM_002225	IVD
NM_005142	GIF
NM_001081	CUBN
NM_030943	AMN
NM_001244438	ARG1
NM_001024943	ASL     
NM_000050	ASS1
NM_001122633	CPS1 
NM_153006	NAGS
NM_000274	OAT
NM_000531	OTC   
NM_001160210	SLC25A13
NM_014252	SLC25A15
