Transcript	GeneName
NM_032291	SGIP1
NM_001080397	SLC45A1
NM_032785	AGBL4
NM_001145277	NECAP2
NM_052998	AZIN2
NM_013943	CLIC4
NM_003243	TGFBR3
NM_001918	DBT
NM_022457	RFWD2
NM_021222	PRUNE
NM_030806	C1orf21
NM_173083	LIN9
NM_017891	C1orf159
NM_015215	CAMTA1
NM_012405	ICMT
NM_002744	PRKCZ
NM_022114	PRDM16
NM_001099850	LOC391003
NM_001039361	PRAMEF10
NM_032409	PINK1
NM_004442	EPHB2
NM_032236	USP48
NM_001145454	STMN1
NM_001020658	PUM1
NM_001990	EYA3
NM_006559	KHDRBS1
NM_006600	NUDC
NM_001166005	EPB41
NM_005119	THRAP3
NM_012090	MACF1
NM_005066	SFPQ
NM_052896	CSMD2
NM_021639	GPBP1L1
NM_001194986	TRABD2B
NM_002840	PTPRF
NM_018150	RNF220
NM_015306	USP24
NM_153035	TCEANC2
NM_007051	FAF1
NM_021080	DAB1
NM_002867	RAB3B
NM_002979	SCP2
NM_001113411	FGGY
NM_001206739	ITGB3BP
NM_020925	CACHD1
NM_001145512	NFIA
NM_002303	LEPR
NM_001017416	USP1
NM_020794	LRRC7
NM_173808	NEGR1
NM_152996	ST6GALNAC3
NM_005482	PIGK
NM_012128	CLCA4
NM_032270	LRRC8C
NR_033998	LOC729970
NM_002061	GCLM
NM_001006605	FAM69A
NM_001113226	NTNG1
NM_014917	NTNG1
NM_002884	RAP1A
NM_006496	GNAI3
NM_001042679	RHOC
NM_006608	PHTF1
NM_024408	NOTCH2
NM_006784	WDR3
NM_001201326	PDZK1
NM_001201325	PDZK1
NM_001278267	NBPF20
NM_020205	OTUD7B
NM_015327	SMG5
NM_152263	TPM3
NR_002188	GBAP1
NM_001136219	FCGR2A
NM_002585	PBX1
NR_036683	LOC440700
NM_022093	TNN
NM_001163629	MROH9
NM_005092	TNFSF18
NM_015569	DNM3
NM_201569	SMG7
NM_032360	ACBD6
NM_003101	SOAT1
NM_001137669	RGSL1
NM_170692	RASAL2
NM_021165	BRINP2
NM_000963	PTGS2
NM_194314	ZBTB41
NM_133494	NEK7
NM_002481	PPP1R12B
NM_015326	SRGAP2
NM_001122834	HHAT
NM_018664	BATF3
NM_206933	USH2A
NM_004446	EPRS
NM_001373	DNAH14
NR_002753	RNU5F-1
NR_034037	LINC00582
NM_018230	NUP133
NM_145214	TRIM11
NM_000081	LYST
NR_027247	LOC100130331
NM_002924	RGS7
NM_000254	MTR
NM_032752	ZNF496
NM_001167740	SMYD3
NM_018012	KIF26B
NM_001001918	OR14C36
NR_047519	LINC01128
NM_001198994	NADK
NM_033486	CDK11B
NM_001014980	FAM132A
NM_003820	TNFRSF14
NM_003036	SKI
NM_001242672	TTC34
NM_152492	CCDC27
NM_004402	DFFB
NM_001409	MEGF6
NM_018836	AJAP1
NM_001199862	KCNAB2
NM_015102	NPHP4
NM_007274	ACOT7
NM_016831	PER3
NM_001561	TNFRSF9
NM_001042681	RERE
NM_004285	H6PD
NM_024980	GPR157
NM_001012329	CTNNBIP1
NM_015074	KIF1B
NM_001009566	CLSTN1
NM_001105562	UBE4B
NM_004565	PEX14
NM_001170754	C1orf127
NM_001079843	CASZ1
NM_001001998	EXOSC10
NM_004958	MTOR
NM_001127660	MFN2
NM_001243	TNFRSF8
NM_020350	AGTRAP
NM_015378	VPS13D
NM_001013630	AADACL4
NM_052929	FHAD1
NM_201628	KAZN
NR_027136	TMEM51-AS1
NM_015001	SPEN
NM_018994	FBXO42
NM_015291	DNAJC16
NM_017940	NBPF1
NM_007365	PADI2
NM_013358	PADI1
NM_002403	MFAP2
NR_026567	ESPNP
NM_018125	ARHGEF10L
NM_032880	IGSF21
NM_030812	ACTL8
NM_001136265	IFFO2
NM_020765	UBR4
NM_001206540	CAPZB
NM_002584	PAX7
NM_181719	TMCO4
NR_033887	LINC01141
NM_001198801	EIF4G3
NM_016287	HP1BP3
NM_000478	ALPL
NM_014870	ZBTB40
NM_001791	CDC42
NM_001013693	LDLRAD2
NM_005529	HSPG2
NM_001142546	LUZP1
NM_004091	E2F2
NM_003196	TCEA3
NM_020448	NIPAL3
NM_001010980	NCMAP
NM_170743	IFNLR1
NM_020485	RHCE
NM_018202	TMEM57
NM_020379	MAN1C1
NM_031286	SH3BGRL3
NM_024674	LIN28A
NM_032125	TMEM222
NM_001029882	AHDC1
NM_006990	WASF2
NR_036473	SNHG3
NM_005644	TAF12
NM_005704	PTPRU
NM_005626	SRSF4
NR_034182	MATN1-AS1
NM_002379	MATN1
NM_080391	PTP4A2
NM_012316	KPNA6
NM_004964	HDAC1
NM_030786	SYNC
NM_022753	S100PBP
NM_001040441	ZBTB8A
NM_153341	RNF19B
NM_198040	PHC2
NR_038372	CSMD2-AS1
NM_145238	ZSCAN20
NM_001080418	DLGAP3
NM_005095	ZMYM4
NM_024874	KIAA0319L
NM_024852	AGO3
NM_017629	AGO4
NM_178548	TFAP2E
NM_005202	COL8A2
NM_000831	GRIK3
NM_032017	STK40
NM_024640	YRDC
NM_024700	SNIP1
NM_005540	INPP5B
NM_022157	RRAGC
NM_001720	BMP8B
NM_181809	BMP8A
NM_012421	RLF
NM_004700	KCNQ4
NR_024567	NFYC-AS1
NM_001172219	SCMH1
NM_014947	FOXJ3
NM_173642	RIMKLA
NM_001127714	HIVEP3
NM_001242750	LOC100129924
NM_001195831	CFAP57
NM_015284	SZT2
NM_005424	TIE1
NM_174964	ST3GAL3
NM_014652	IPO13
NM_024066	ERI3
NR_033827	KDM4A-AS1
NM_006845	KIF2C
NM_007170	TESK2
NM_020365	EIF2B3
NM_020883	ZSWIM5
NM_003629	PIK3R3
NM_015112	MAST2
NM_001243766	POMGNT1
NM_003684	MKNK1
NR_002788	CYP4Z2P
NM_178134	CYP4Z1
NM_016308	CMPK1
NR_026749	SKINTL
NM_019073	SPATA6
NM_021952	ELAVL4
NM_001981	EPS15
NM_002525	NRD1
NM_001144832	TTC39A
NM_148909	OSBPL9
NM_001009881	ZCCHC11
NM_001004339	ZYG11A
NM_024646	ZYG11B
NM_004799	ZFYVE9
NM_032449	CC2D1B
NM_004631	LRP8
NM_147193	GLIS1
NM_018087	NDC1
NM_016126	HSPB11
NM_147161	ACOT11
NM_001031672	CYB5RL
