VCP3 Gene Symbol	HGNC	Consensus
AAAS	13666	NM_001173466
AAAS	13666	NM_015665
ABCB7	48	NM_001271696
ABCB7	48	NM_004299
ATL1	11231	NM_015915
ATL1	11231	NM_001127713
BSCL2	15832	NM_001122955
BSCL2	15832	NM_032667
CDC42	1736	NM_001791
CDC42	1736	NM_044472
CDKN2A	1787	NM_000077
CDKN2A	1787	NM_058195
CLN3	2074	NM_000086
CLN3	2074	NM_001042432
COL5A1	2209	NM_000093
COL5A1	2209	NM_001278074
COX15	2263	NM_078470
COX15	2263	NM_004376
DNM2	2974	NM_001005360
DNM2	2974	NM_001005361
DTNBP1	17328	NM_032122
DTNBP1	17328	NM_183040
DYSF	3097	NM_003494
DYSF	3097	NM_001130987
ENG	3349	NM_000118
ENG	3349	NM_001114753
EPHB2	3393	NM_004442
EPHB2	3393	NM_017449
ERLIN2	1356	NM_007175
ERLIN2	1356	NM_001003791
FANCD2	3585	NM_001018115
FANCD2	3585	NM_033084
FANCL	20748	NM_001114636
FANCL	20748	NM_018062
FGD4	19125	NM_139241
FGD4	19125	NM_001304481
FGD4	19125	NM_001304480
FHL1	3702	NM_001159699
FHL1	3702	NM_001159702
FLI1	3749	NM_001167681
FLI1	3749	NM_001271010
FLI1	3749	NM_001271012
FLI1	3749	NM_002017
GNE	23657	NM_001128227
GNE	23657	NM_005476
GP6	14388	NM_016363
GP6	14388	NM_001256017
GP6	14388	NM_001083899
HPS4	15844	NM_022081
HPS4	15844	NM_152841
ITGA7	6143	NM_002206
ITGA7	6143	NM_001144997
KIF1A	888	NM_001244008
KIF1A	888	NM_004321
KNG1	6383	NM_000893
KNG1	6383	NM_001102416
LAMP2	6501	NM_002294
LAMP2	6501	NM_013995
LAMP2	6501	NM_001122606
LYST	1968	NM_000081
LYST	1968	NM_001301365
MAPT	6893	NM_016835
MAPT	6893	NM_001123066
MPIG6B	13937	NM_025260
MPIG6B	13937	NM_138272
NBEA	7648	NM_015678
NBEA	7648	NM_001204197
NTRK1	8031	NM_001007792
NTRK1	8031	NM_001012331
NTRK1	8031	NM_002529
OPA1	8140	NM_015560
OPA1	8140	NM_130837
OPA3	8142	NM_001017989
OPA3	8142	NM_025136
PLAU	9052	NM_002658
PLAU	9052	NM_001145031
PLG	9071	NM_000301
PLG	9071	NM_001168338
POMGNT1	19139	NM_001243766
POMGNT1	19139	NM_017739
PRX	13797	NM_020956
PRX	13797	NM_181882
PTCH1	9585	NM_000264
PTCH1	9585	NM_001083602
REEP1	25786	NM_001164730
REEP1	25786	NM_022912
RNASEH2B	25671	NM_001142279
RNASEH2B	25671	NM_024570
SLC12A6	10914	NM_005135
SLC12A6	10914	NM_133647
SYNE1	17089	NM_182961
SYNE1	17089	NM_033071
TBXAS1	11609	NM_001130966
TBXAS1	11609	NM_001061
TPM2	12011	NM_003289
TPM2	12011	NM_213674
TYMP	3148	NM_001257988
TYMP	3148	NM_001257989
VPS13A	1908	NM_015186
VPS13A	1908	NM_033305
WNK1	14540	NM_018979
WNK1	14540	NM_213655
