RNAAccession	ApprovedSymbol
NM_000350	ABCA4
NM_012106	ARL2BP
NM_024649	BBS1
NM_001139443	BEST1
NM_001300786	BEST1
NM_001300787	BEST1
NM_004183	BEST1
NM_001029883	C2orf71
NM_177965	C8orf37
NM_000717	CA4
NM_001030311	CERKL
NM_001030312	CERKL
NM_001030313	CERKL
NM_001160277	CERKL
NM_201548	CERKL
NM_000087	CNGA1
NM_001142564	CNGA1
NM_001135639	CNGB1
NM_001286130	CNGB1
NM_001297	CNGB1
NM_001193640	CRB1
NM_001257965	CRB1
NM_001257966	CRB1
NM_201253	CRB1
NM_000554	CRX
NM_001243564	DHDDS
NM_001243565	DHDDS
NM_024887	DHDDS
NM_205861	DHDDS
NM_001271427	EMC1
NM_001271428	EMC1
NM_001271429	EMC1
NM_015047	EMC1
NM_001142800	EYS
NM_001142801	EYS
NM_001292009	EYS
NM_198283	EYS
NM_001201543	FAM161A
NM_032180	FAM161A
NM_014053	FLVCR1
NM_001077182	FSCN2
NM_012418	FSCN2
NM_032520	GNPTG
NM_145290	GPR125
NM_002098	GUCA1B
NM_001258384	IDH3B
NM_006899	IDH3B
NM_174855	IDH3B
NM_000883	IMPDH1
NM_001102605	IMPDH1
NM_001142573	IMPDH1
NM_001142574	IMPDH1
NM_001142575	IMPDH1
NM_001142576	IMPDH1
NM_183243	IMPDH1
NM_016247	IMPG2
NM_001164665	KIAA1549
NM_020910	KIAA1549
NM_001031710	KLHL7
NM_001172428	KLHL7
NM_018846	KLHL7
NM_004744	LRAT
NM_001242385	MAK
NM_001242957	MAK
NM_005906	MAK
NM_006343	MERTK
NM_001204182	NEK2
NM_001204183	NEK2
NM_002497	NEK2
NM_001297778	NMNAT1
NM_001297779	NMNAT1
NM_022787	NMNAT1
NM_014249	NR2E3
NM_016346	NR2E3
NM_006177	NRL
NM_000440	PDE6A
NM_000283	PDE6B
NM_001145291	PDE6B
NM_001145292	PDE6B
NM_002602	PDE6G
NM_001077620	PRCD
NM_001145847	PROM1
NM_001145848	PROM1
NM_001145849	PROM1
NM_001145850	PROM1
NM_001145851	PROM1
NM_001145852	PROM1
NM_006017	PROM1
NM_004698	PRPF3
NM_015629	PRPF31
NM_012469	PRPF6
NM_006445	PRPF8
NM_000322	PRPH2
NM_002900	RBP3
NM_006744	RBP4
NM_152443	RDH12
NM_001012720	RGR
NM_001012722	RGR
NM_002921	RGR
NM_000539	RHO
NM_000326	RLBP1
NM_000327	ROM1
NM_006269	RP1
NM_178857	RP1L1
NM_006915	RP2
NM_203288	RP9
NM_000329	RPE65
NM_000328	RPGR
NM_001034853	RPGR
NM_000541	SAG
NM_001193300	SEMA4A
NM_001193301	SEMA4A
NM_001193302	SEMA4A
NM_022367	SEMA4A
NM_014014	SNRNP200
NM_001040428	SPATA7
NM_018418	SPATA7
NM_001195622	TOPORS
NM_005802	TOPORS
NM_001288781	TTC8
NM_001288782	TTC8
NM_001288783	TTC8
NM_144596	TTC8
NM_198309	TTC8
NM_198310	TTC8
NM_001289395	TULP1
NM_003322	TULP1
NM_007123	USH2A
NM_206933	USH2A
NM_001201459	ZNF513
NM_144631	ZNF513
