"DOC333	Revision1			",,,
"Instructions:		",,,
All transcripts and gene symbols must be confirmed by a Clinical Scientist. ,,,
Check if transcript is available in DSS if not use MANE.,,,
"Create bedfile Pan number in Moka.	",,,
"Answer following questions				",,,
"Please save this as a CSV file.				",,,
"				",,,
"1. Pan number of bed file to be created	PanXXXX			",Pan5334,,
"2. Panel description/name (fill in a-c from Moka)				",CP205 CNV BED- R165 Dec2025 CNV calling,,
"2. a) Category	 eg capture kit			","no padding, 5UTR",,
"2. b) SubCategory	 description of what is included, eg padding, UTR inclusion (or not),  intronic BED files,  any modifications from an existing BED file",,,
"2. c) Panel	 Category and subcategory combined			",,,
"3a). Is this BED file used for Exome depth?	Yes/No			",Yes,,
"3b). Is this BED file used to generate read counts or filter calls?	Yes/No/N/A			","Yes, filter calls",,
"4. a) Is this BED file exclusively based on coordinates provided by a supplier? 	Yes/No/N/A			",No,,
"4. b) If yes does this need further padding?	Yes/No/N/A			",N/A,,
"5. a) Should specific transcripts be used to create the bed file? (as opposed to all transcripts for a gene)	Yes/No/N/A			",Yes,,
"5. b) If specific transcripts are to be used have you provided multiple transcripts for the same gene? (if Yes please state)	Yes/No/N/A			",Yes,,
"6. What padding is required around the exons?(usually 10, 30 or 50bp)",0,,
"7. a) Should UTRs be included for ALL genes?	Yes/No			",No,,
"7. b) Should UTRs be padded? and if so by how much	Yes(10/30/50bp)/No/N/A			",No,,
"8. a) Are UTRs required for SOME genes? 	Yes/No			",No,,
"8. b) Please list genes/transcripts	Yes/No/N/A			",N/A,,
"8. c) Should UTRs be padded? and if so by how much	Yes(10/30/50bp)/No/N/A			",N/A,,
"9. Any additional BED files to be included in this BED file?	 (eg intronic region BED files, SNP sites,  CNV control sites etc)	",No,,
"10. Are any further regions required to be added?	Yes/No			",No,,
"11. Are there any regions in the below transcripts that should be excluded?	 			",No,,
"Requested by:				",Heidi Kuoppamaa,,
"Requested date:				",12/12/2025,,
"				",,,
"Please list gene and transcripts below.				",,,
,,,
"Gene Name				",Transcript,,
AAGAB,NM_024666.5,,
ABCA12,NM_173076.3,,
ALDH3A2,NM_000382.3,,
ALOX12B,NM_001139.3,,
ALOXE3,NM_021628.3,,
AQP5,NM_001651.4,,
ASPRV1,NM_152792.4,,
CARD14,NM_001366385.1,,
CAST,NM_001750.7,NM_001042440.2,NM_001190442.1
CERS3,NM_001378789.1,,
CLDN1,NM_021101.5,,
CYP4F22,NM_173483.4,,
DSC2,NM_024422.6,,
DSG1,NM_001942.4,,
DSP,NM_004415.4,,
ELOVL1,NM_022821.4,,
ENPP1,NM_006208.3,,
FLG,NM_002016.2,,
FLG2,NM_001014342.3,,
GJA1,NM_000165.5,,
GJB2,NM_004004.6,,
GJB3,NM_024009.3,,
GJB4,NM_153212.3,,
GJB6,NM_001110219.3,,
GTF2E2,NM_002095.6,,
JUP,NM_002230.4,,
KDSR,NM_002035.4,,
KRT1,NM_006121.4,,
KRT10,NM_000421.5,,
KRT14,NM_000526.5,,
KRT16,NM_005557.4,,
KRT17,NM_000422.3,,
KRT6A,NM_005554.4,,
KRT6B,NM_005555.4,,
KRT6C,NM_173086.5,,
KRT9,NM_000226.4,,
LORICRIN,NM_000427.3,,
NIPAL4,NM_001099287.2,,
PIGL,NM_004278.4,,
PNPLA1,NM_001374623.1,,
RHBDF2,NM_001005498.4,,
RSPO1,NM_001242908.2,,
SDR9C7,NM_148897.3,,
SERPINB7,NM_003784.4,,
SLC27A4,NM_005094.4,,
SLURP1,NM_020427.3,,
SNAP29,NM_004782.4,,
SPINK5,NM_006846.4,,
ST14,NM_021978.4,,
STS,NM_001320752.2,,
SULT2B1,NM_177973.2,,
TAT,NM_000353.3,,
TGM1,NM_000359.3,,
TRPV3,NM_145068.4,,
ABHD5,NM_016006.6,,
CDSN,NM_001264.5,,
CSTA,NM_005213.4,,
PERP,NM_022121.5,,
POMP,NM_015932.6,,
SERPINB8,NM_002640.4,ENST00000397985.2,
SREBF1,NM_004176.5,,
TGM5,NM_201631.4,,
