#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonSEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
9453	GGPS1;NM_004837.4	1	+	235498569	235506097	235498569	235506097	3	235498569,235505012,235505315	235498659,235505103,235506097	nan	GGPS1	nan	nan	0,0,0
129446	XIRP2;NM_152381.6	2	+	167759982	168110646	167759982	168110646	9	167759982,167992408,168067234,168074665,168096354,168097163,168098276,168099068,168110531	167760410,167992582,168067415,168074820,168096485,168097256,168098430,168108467,168110646	nan	XIRP2	nan	nan	0,0,0,0,0,0,0,0,0
2960	GTF2E1;NM_005513.3	3	+	120469389	120500327	120469389	120500327	4	120469389,120489564,120495259,120499879	120469857,120489786,120495521,120500327	nan	GTF2E1	nan	nan	0,0,0,0
5984	RFC4;NM_002916.4	3	-	186507747	186522512	186507747	186522512	10	186507747,186507920,186508104,186509503,186510268,186510582,186512436,186515313,186518895,186522361	186507863,186508054,186508205,186509649,186510409,186510746,186512576,186515413,186518994,186522512	nan	RFC4	nan	nan	0,0,0,0,0,0,0,0,0,0
5981	RFC1;NM_002913.5	4	-	39290370	39367871	39290370	39367871	25	39290370,39291457,39293248,39297223,39301630,39301869,39303887,39304109,39304346,39304669,39306423,39308201,39310245,39313054,39314361,39318524,39321992,39322896,39324949,39328172,39329133,39343954,39347010,39352957,39367848	39290474,39291669,39293482,39297389,39301768,39302044,39304006,39304225,39304504,39304781,39306558,39308331,39310662,39313179,39314561,39318652,39322299,39323004,39325047,39328270,39329386,39344097,39347106,39353106,39367871	nan	RFC1	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84570	COL25A1;NM_198721.4	4	-	109735072	110223185	109735072	110223185	36	109735072,109738542,109740397,109745319,109746341,109748280,109753525,109762840,109765664,109766334,109767284,109769904,109773381,109774047,109780801,109782072,109783646,109784464,109790233,109805323,109810366,109810846,109817812,109820299,109822264,109839317,109841723,109858953,109861684,109862511,109895512,109895678,109931503,109971272,110221728,110222868	109735095,109738601,109740495,109745393,109746388,109748354,109753599,109762887,109765735,109766417,109767385,109769969,109773446,109774091,109780899,109782137,109783711,109784553,109790316,109805388,109810422,109810899,109817877,109820346,109822338,109839382,109841770,109859009,109861812,109862603,109895559,109895725,109931541,109971345,110221818,110223185	nan	COL25A1	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201973	PRIMPOL;NM_152683.4	4	+	185578284	185615943	185578284	185615943	12	185578284,185580483,185582917,185587060,185593316,185599375,185603391,185606552,185606719,185612642,185612809,185615665	185578484,185580601,185583067,185587228,185593624,185599558,185603500,185606662,185606848,185612745,185612876,185615943	nan	PRIMPOL	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0
54888	NSUN2;NM_017755.6	5	-	6600028	6633102	6600028	6633102	19	6600028,6602563,6604240,6604707,6605375,6606922,6607302,6609928,6611057,6611827,6616829,6618052,6620208,6622118,6623316,6625666,6631975,6632701,6632986	6600355,6602623,6604399,6604808,6605531,6607035,6607507,6610045,6611208,6611921,6616980,6618147,6620421,6622223,6623408,6625792,6632100,6632879,6633102	nan	NSUN2	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63915	BLOC1S5;NM_201280.3	6	-	8015871	8064619	8015871	8064619	5	8015871,8026589,8041361,8062756,8064487	8016071,8026668,8041511,8062859,8064619	nan	BLOC1S5	nan	nan	0,0,0,0,0
8449	DHX16;NM_003587.5	6	-	30621008	30640628	30621008	30640628	20	30621008,30622472,30622941,30623201,30623964,30624157,30624363,30624718,30627238,30627502,30627798,30630393,30630677,30632567,30632837,30633245,30638176,30638556,30638802,30640401	30621157,30622666,30623123,30623384,30624052,30624296,30624546,30624879,30627411,30627621,30628029,30630529,30630808,30632779,30633061,30633520,30638253,30638739,30639061,30640628	nan	DHX16	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10973	ASCC3;NM_006828.4	6	-	100957251	101315883	100957251	101315883	41	100957251,100957797,100960574,100964045,100965856,100988028,101037499,101037813,101049675,101053433,101054605,101054816,101073057,101075455,101075707,101076880,101078993,101086466,101090446,101091896,101094480,101095091,101098403,101099425,101100590,101103564,101109671,101110210,101127483,101163327,101165940,101173404,101214430,101215010,101246578,101247296,101248165,101253625,101296013,101311929,101315773	100957419,100957993,100960804,100964213,100966028,100988273,101037654,101037945,101049821,101053586,101054746,101054974,101073220,101075596,101075873,101077067,101079099,101086707,101090635,101092015,101094655,101095337,101098600,101099532,101100775,101103704,101109916,101110422,101127638,101163419,101166137,101173589,101214591,101215231,101246724,101247458,101248390,101253766,101296593,101312100,101315883	nan	ASCC3	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5982	RFC2;NM_181471.3	7	-	73646425	73668723	73646425	73668723	11	73646425,73649851,73651681,73653242,73654257,73657465,73660981,73663331,73664058,73666748,73668590	73646556,73649985,73651782,73653328,73654435,73657586,73661103,73663458,73664120,73666838,73668723	nan	RFC2	nan	nan	0,0,0,0,0,0,0,0,0,0,0
7516	XRCC2;NM_005431.2	7	-	152345716	152373174	152345716	152373174	3	152345716,152357775,152373115	152346458,152357877,152373174	nan	XRCC2	nan	nan	0,0,0
