GuysAccession	ApprovedSymbol	GuysAccessionVersion
AKT1	NM_005163	0
APC	NM_001127510	0
AR	NM_001011645	0
BRCA1	NM_007300	0
CDK12	NM_016507	0
CDKN2A	NM_001195132	0
CTNNB1	NM_001098210	0
ERBB2	NM_004448	0
ERBB3	NM_001982	0
ERBB4	NM_005235	0
FBXW7	NM_018315	0
FGFR1	NM_001174067	0
FGFR2	NM_022970	0
FGFR3	NM_001163213	0
GNAS	NM_080425	0
IDH1	NM_001282387	0
IDH2	NM_002168	0
MSH6	NM_001281494	0
NF1	NM_001042492	0
NTRK1	NM_002529	0
NTRK2	NM_001007097	0
NTRK3	NM_001007156	0
POLD1	NM_001256849	0
RET	NM_020975	0
SDHA	NM_004168	0
SDHC	NM_003001	0
SDHD	NM_003002	0
SMARCA4	NM_001128849	0
TCEB1	NM_005648	0
TSC1	NM_000368	0
TSC2	NM_001077183	0
VHL	NM_198156	0
