GuysAccession	ApprovedSymbol	GuysAccessionVersion
NM_005157	ABL1	0
NM_007314	ABL2	0
NM_001111067	ACVR1	0
NM_004302	ACVR1B	0
NM_001382430	AKT1	0
NM_001626	AKT2	0
NM_005465	AKT3	0
NM_004304	ALK	0
NM_001139	ALOX12B	0
NM_013275	ANKRD11	0
NM_014915	ANKRD26	0
NM_000038	APC	0
NM_000044	AR	0
NM_001654	ARAF	0
NM_001267547	ARFRP1	0
NM_006015	ARID1A	0
NM_001374828	ARID1B	0
NM_152641	ARID2	0
NM_032199	ARID5B	0
NM_015338	ASXL1	0
NM_018263	ASXL2	0
NM_000051	ATM	0
NM_001184	ATR	0
NM_000489	ATRX	0
NM_198437	AURKA	0
NM_004217	AURKB	0
NM_003502	AXIN1	0
NM_004655	AXIN2	0
NM_021913	AXL	0
NM_004048	B2M	0
NM_004656	BAP1	0
NM_000465	BARD1	0
NM_014417	BBC3	0
NM_003921	BCL10	0
NM_000633	BCL2	0
NM_138578	BCL2L1	0
NM_138621	BCL2L11	0
NM_004050	BCL2L2	0
NM_001706	BCL6	0
NM_001123385	BCOR	0
NM_001379451	BCORL1	0
NM_004327	BCR	0
NM_001165	BIRC3	0
NM_000057	BLM	0
NM_004329	BMPR1A	0
NM_004333	BRAF	0
NM_007294	BRCA1	0
NM_000059	BRCA2	0
NM_001379291	BRD4	0
NM_032043	BRIP1	0
NM_001731	BTG1	0
NM_000061	BTK	0
NM_004343	CALR	0
NM_032415	CARD11	0
NM_001372051	CASP8	0
NM_022845	CBFB	0
NM_005188	CBL	0
NM_053056	CCND1	0
NM_001759	CCND2	0
NM_001760	CCND3	0
NM_001238	CCNE1	0
NM_014143	CD274	0
NM_001024736	CD276	0
NM_001025159	CD74	0
NM_001783	CD79A	0
NM_000626	CD79B	0
NM_024529	CDC73	0
NM_004360	CDH1	0
NM_016507	CDK12	0
NM_000075	CDK4	0
NM_001145306	CDK6	0
NM_001260	CDK8	0
NM_000389	CDKN1A	0
NM_004064	CDKN1B	0
NM_000077	CDKN2A	0
NM_004936	CDKN2B	0
NM_078626	CDKN2C	0
NM_004364	CEBPA	0
NM_001809	CENPA	0
NM_001271	CHD2	0
NM_001273	CHD4	0
NM_001114122	CHEK1	0
NM_007194	CHEK2	0
NM_004380	CREBBP	0
NM_005207	CRKL	0
NM_022148	CRLF2	0
NM_001288705	CSF1R	0
NM_000760	CSF3R	0
NM_001892	CSNK1A1	0
NM_006565	CTCF	0
NM_005214	CTLA4	0
NM_001903	CTNNA1	0
NM_001904	CTNNB1	0
NM_003590	CUL3	0
NM_181552	CUX1	0
NM_003467	CXCR4	0
NM_001378743	CYLD	0
NM_001141969	DAXX	0
NM_020640	DCUN1D1	0
NM_006182	DDR2	0
NM_016222	DDX41	0
NM_001358	DHX15	0
NM_177438	DICER1	0
NM_014953	DIS3	0
NM_006145	DNAJB1	0
NM_001130823	DNMT1	0
NM_022552	DNMT3A	0
NM_006892	DNMT3B	0
NM_032482	DOT1L	0
NM_001949	E2F3	0
NM_003797	EED	0
NM_016215	EGFL7	0
NM_005228	EGFR	0
NM_001412	EIF1AX	0
NM_001967	EIF4A2	0
NM_001968	EIF4E	0
NM_019063	EML4	0
NM_001429	EP300	0
NM_002354	EPCAM	0
NM_005233	EPHA3	0
NM_001281766	EPHA5	0
NM_004440	EPHA7	0
NM_004441	EPHB1	0
NM_004448	ERBB2	0
NM_001982	ERBB3	0
NM_005235	ERBB4	0
NM_001983	ERCC1	0
NM_000400	ERCC2	0
NM_000122	ERCC3	0
NM_005236	ERCC4	0
NM_000123	ERCC5	0
NM_182918	ERG	0
NM_018948	ERRFI1	0
NM_000125	ESR1	0
NM_001143820	ETS1	0
NM_004956	ETV1	0
NM_001079675	ETV4	0
NM_004454	ETV5	0
NM_001987	ETV6	0
NM_005243	EWSR1	0
NM_004456	EZH2	0
NM_000135	FANCA	0
NM_000136	FANCC	0
NM_001018115	FANCD2	0
NM_021922	FANCE	0
NM_022725	FANCF	0
NM_004629	FANCG	0
NM_001113378	FANCI	0
NM_018062	FANCL	0
NM_000043	FAS	0
NM_005245	FAT1	0
NM_001349798	FBXW7	0
NM_000800	FGF1	0
NM_004465	FGF10	0
NM_004115	FGF14	0
NM_005117	FGF19	0
NM_001361665	FGF2	0
NM_020638	FGF23	0
NM_005247	FGF3	0
NM_002007	FGF4	0
NM_004464	FGF5	0
NM_020996	FGF6	0
NM_002009	FGF7	0
NM_033163	FGF8	0
NM_002010	FGF9	0
NM_023110	FGFR1	0
NM_000141	FGFR2	0
NM_000142	FGFR3	0
NM_213647	FGFR4	0
NM_000143	FH	0
NM_144997	FLCN	0
NM_002017	FLI1	0
NM_002019	FLT1	0
NM_004119	FLT3	0
NM_182925	FLT4	0
NM_004496	FOXA1	0
NM_023067	FOXL2	0
NM_002015	FOXO1	0
NM_001349338	FOXP1	0
NM_001278356	FRS2	0
NM_003902	FUBP1	0
NM_002037	FYN	0
NM_000811	GABRA6	0
NM_002049	GATA1	0
NM_032638	GATA2	0
NM_001002295	GATA3	0
