Gene	Old Panel	New Panel	LOVD Genomic
ACTA1 	NM_001100.3	NM_001100.3	NG_006672.1
BIN1 	NM_139343.2 	NM_139343.1	NG_012042.1
CFL2 	NM_138638.4	NM_138638.4	NG_012740.1
DNM2	NM_001005360.2	NM_001005360.2	NG_008792.1
KBTBD13 	NM_001101362.2 	NM_001101362.2 	NG_021411.1
MTM1 	NM_000252.2	NM_000252.2	NG_008199.1
MYH2 	NM_017534.5 	NM_017534.5 	NG_013014.1
MYH3 	NM_002470.3 	NM_002470.3 	NG_011537.1
MYH7 	NM_000257.2	NM_000257.2	NG_007884.1
MYH8 	NM_002472.2	NM_002472.2	NG_013015.1
NEB 	NM_001271208.1	NM_001271208.1	NG_009382.2
RYR1 	NM_000540.2	NM_000540.2	NG_008866.1
SEPN1 	NM_020451.2 	NM_020451.2 	NG_009930.1
TNNI2 	NM_003282.3 	NM_003282.3 	NG_011621.1
TNNT1	 NM_003283.4	NM_003283.4	NG_011829.1
TNNT3 	NM_006757.3 	NM_006757.3 	NG_013085.1
TPM2 	NM_003289.3 	NM_003289.3 	NG_011620.1
TPM3 	NM_152263.2	NM_152263.2	NG_008621.1
TTN 	NM_001267550.1 	NM_001267550.1 	NG_011618.2
ECEL1 	NM_004826.2 	NM_004826.2 	NC_000002.11
ORAI1 	NM_032790.3	NM_032790.3	LRG_93
STIM1 	NM_003156.3 	NM_003156.3 	LRG_164
CCDC78	NOT ON CURRENT	NM_001031737.2	NM_032932.1
KLHL41	NOT ON CURRENT	NM_006063.2	NG_
KLHL40	NOT ON CURRENT	NM_152393.3	NG_033035.1
DNA2	NOT ON CURRENT	NM_001080449.2	NC_000010.10
SLC35A3	NOT ON CURRENT	NM_012243.1	NC_000001.10
MYBPC1	NOT ON CURRENT	NM_001254718.1	NG_031912.1
PIEZO2	NOT ON CURRENT	NM_022068.2	NG_034005.1
ZC4H2	NOT ON CURRENT	NM_018684.3	NG_021200.1
VPS33B	NOT ON CURRENT	NM_018668.3	NG_012162.1
LAMP2	NOT ON CURRENT	NM_002294.2	NG_007995.1
VMA21	NOT ON CURRENT	NM_001017980.3	NG_016761.1
STAC3	NOT ON CURRENT	NM_145064.1	NC_000012.11
LMOD3	NOT ON CURRENT	NM_198271.3	NC_000003.11
MEGF10	NOT ON CURRENT	NM_032446.2	NG_032071.1
EPG5	NOT ON CURRENT	NM_020964.2	NC_000018.9
