Accession	Gene
NM_001100	ACTA1 
NM_139343	BIN1 
NM_138638	CFL2 
NM_001005360	DNM2
NM_001101362	KBTBD13 
NM_000252	MTM1 
NM_017534	MYH2 
NM_002470	MYH3 
NM_000257	MYH7 
NM_002472	MYH8 
NM_001271208	NEB 
NM_000540	RYR1 
NM_020451	SEPN1 
NM_003282	TNNI2 
NM_003283	TNNT1
NM_006757	TNNT3 
NM_003289	TPM2 
NM_152263	TPM3 
NM_001267550	TTN 
NM_004826	ECEL1 
NM_032790	ORAI1 
NM_003156	STIM1 
NM_001031737	CCDC78
NM_006063	KLHL41
NM_152393	KLHL40
NM_001080449	DNA2
NM_012243	SLC35A3
NM_001254718	MYBPC1
NM_022068	PIEZO2
NM_018684	ZC4H2
NM_018668	VPS33B
NM_002294	LAMP2
NM_001017980	VMA21
NM_145064	STAC3
NM_198271	LMOD3
NM_032446	MEGF10
NM_020964	EPG5
