Chr	Start	Stop	GeneName
chr6	31976390	31976492	NM_032470_cds_0_0_chr6_31976391_r
chr6	31976812	31976976	NM_032470_cds_1_0_chr6_31976813_r
chr6	31977053	31977215	NM_032470_cds_2_0_chr6_31977054_r
chr6	31977307	31977404	NM_032470_cds_3_0_chr6_31977308_r
chr6	31977497	31977649	NM_032470_cds_4_0_chr6_31977498_r
chr6	31977741	31977874	NM_032470_cds_5_0_chr6_31977742_r
chr6	31977993	31978124	NM_032470_cds_6_0_chr6_31977994_r
chr6	31978217	31978361	NM_032470_cds_7_0_chr6_31978218_r
chr6	31978479	31978600	NM_032470_cds_8_0_chr6_31978480_r
chr6	31978761	31978815	NM_032470_cds_9_0_chr6_31978762_r
chr6	31978929	31979052	NM_032470_cds_10_0_chr6_31978930_r
chr6	31979303	31979639	NM_032470_cds_11_0_chr6_31979304_r
chr6	31979928	31980142	NM_032470_cds_12_0_chr6_31979929_r
chr6	32009125	32009227	NM_032470_cds_0_0_chr6_32009126_r
chr6	32009547	32009711	NM_032470_cds_1_0_chr6_32009548_r
chr6	32009788	32009950	NM_032470_cds_2_0_chr6_32009789_r
chr6	32010042	32010139	NM_032470_cds_3_0_chr6_32010043_r
chr6	32010231	32010383	NM_032470_cds_4_0_chr6_32010232_r
chr6	32010475	32010608	NM_032470_cds_5_0_chr6_32010476_r
chr6	32010727	32010858	NM_032470_cds_6_0_chr6_32010728_r
chr6	32010951	32011095	NM_032470_cds_7_0_chr6_32010952_r
chr6	32011213	32011333	NM_032470_cds_8_0_chr6_32011214_r
chr6	32011525	32011669	NM_032470_cds_9_0_chr6_32011526_r
chr6	32011783	32011906	NM_032470_cds_10_0_chr6_32011784_r
chr6	32012157	32012493	NM_032470_cds_11_0_chr6_32012158_r
chr6	32012782	32012996	NM_032470_cds_12_0_chr6_32012783_r
