GuysAccession	ApprovedSymbol	GuysAccessionVersion
NM_001382430	AKT1	0
NM_004304	ALK	0
NM_152424	AMER1	0
NM_000038	APC	0
NM_000044	AR	0
NM_001654	ARAF	0
NM_006015	ARID1A	0
NM_001374828	ARID1B	0
NM_152641	ARID2	0
NM_000051	ATM	0
NM_001184	ATR	0
NM_004048	B2M	0
NM_004656	BAP1	0
NM_000465	BARD1	0
NM_004333	BRAF	0
NM_007294	BRCA1	0
NM_000059	BRCA2	0
NM_032043	BRIP1	0
NM_053056	CCND1	0
NM_016507	CDK12	0
NM_000075	CDK4	0
NM_000077	CDKN2A	0
NM_001114122	CHEK1	0
NM_007194	CHEK2	0
NM_004380	CREBBP	0
NM_001904	CTNNB1	0
NM_177438	DICER1	0
NM_005228	EGFR	0
NM_005648	ELOC	0
NM_004448	ERBB2	0
NM_001982	ERBB3	0
NM_000400	ERCC2	0
NM_000122	ERCC3	0
NM_000125	ESR1	0
NM_000136	FANCC	0
NM_018062	FANCL	0
NM_001349798	FBXW7	0
NM_023110	FGFR1	0
NM_000141	FGFR2	0
NM_000142	FGFR3	0
NM_000143	FH	0
NM_144997	FLCN	0
NM_023067	FOXL2	0
NM_001002295	GATA3	0
NM_002067	GNA11	0
NM_002072	GNAQ	0
NM_000516	GNAS	0
NM_005343	HRAS	0
NM_005896	IDH1	0
NM_002168	IDH2	0
NM_001291415	KDM6A	0
NM_000222	KIT	0
NM_004985	KRAS	0
NM_014572	LATS2	0
NM_002755	MAP2K1	0
NM_030662	MAP2K2	0
NM_002392	MDM2	0
NM_000245	MET	0
NM_000249	MLH1	0
NM_000251	MSH2	0
NM_000179	MSH6	0
NM_004958	MTOR	0
NM_001042492	NF1	0
NM_000268	NF2	0
NM_024408	NOTCH2	0
NM_004557	NOTCH4	0
NM_002524	NRAS	0
NM_024675	PALB2	0
NM_001135254	PAX7	0
NM_006206	PDGFRA	0
NM_006218	PIK3CA	0
NM_181523	PIK3R1	0
NM_000535	PMS2	0
NM_002691	POLD1	0
NM_006231	POLE	0
NM_002717	PPP2R2A	0
NM_000314	PTEN	0
NM_133510	RAD51B	0
NM_058216	RAD51C	0
NM_002878	RAD51D	0
NM_003579	RAD54L	0
NM_002880	RAF1	0
NM_000321	RB1	0
NM_020975	RET	0
NM_017763	RNF43	0
NM_001378902	ROS1	0
NM_001754	RUNX1	0
NM_004168	SDHA	0
NM_003000	SDHB	0
NM_003001	SDHC	0
NM_003002	SDHD	0
NM_014159	SETD2	0
NM_012433	SF3B1	0
NM_005359	SMAD4	0
NM_003072	SMARCA4	0
NM_003073	SMARCB1	0
NM_005631	SMO	0
NM_001042750	STAG2	0
NM_000455	STK11	0
NM_016169	SUFU	0
NM_198253	TERT	0
NM_000546	TP53	0
NM_032271	TRAF7	0
NM_000368	TSC1	0
NM_000548	TSC2	0
NM_000551	VHL	0
