#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonSEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
29089	UBE2T;NM_014176.4	1	-	202300932	202311094	202300932	202311094	7	202300932,202302107,202302334,202302547,202304086,202304743,202310992	202301118,202302251,202302493,202302713,202304216,202304976,202311094	nan	UBE2T	nan	nan	0,0,0,0,0,0,0
55120	FANCL;NM_001114636.1	2	-	58386869	58468545	58386869	58468545	14	58386869,58387212,58388626,58389970,58390133,58390538,58392828,58425683,58431234,58449046,58453832,58456918,58459158,58468322	58386965,58387344,58388803,58390112,58390239,58390682,58393039,58425827,58431391,58449207,58453949,58457039,58459277,58468545	nan	FANCL	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0
2177	FANCD2;NM_001018115.3	3	+	10068090	10142976	10068090	10142976	44	10068090,10070278,10074485,10076122,10076348,10076826,10077940,10080932,10081374,10083276,10084212,10084703,10085137,10085482,10088233,10089570,10091027,10094040,10101947,10103804,10105445,10106009,10106382,10107047,10107517,10108862,10114524,10114906,10116183,10119734,10122753,10122999,10127465,10128787,10130102,10130481,10131945,10133834,10134938,10135942,10136853,10137979,10140373,10142841	10068187,10070435,10074686,10076250,10076512,10076947,10078053,10081071,10081559,10083424,10084377,10084864,10085306,10085578,10088437,10089765,10091219,10094211,10102117,10103925,10105625,10106143,10106589,10107208,10107693,10109031,10114695,10115076,10116387,10119911,10122942,10123178,10127636,10128978,10130256,10130664,10132099,10133966,10135037,10136077,10136988,10138186,10140529,10142976	nan	FANCD2	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2178	FANCE;NM_021922.3	6	+	35420084	35434152	35420084	35434152	10	35420084,35423493,35425302,35425662,35426043,35427077,35427428,35428298,35430535,35433990	35420600,35424160,35425407,35425791,35426247,35427261,35427567,35428425,35430721,35434152	nan	FANCE	nan	nan	0,0,0,0,0,0,0,0,0,0
2189	FANCG;NM_004629.2	9	-	35074074	35079969	35074074	35079969	14	35074074,35074337,35074893,35075245,35075431,35075928,35076398,35076690,35076937,35077230,35078107,35078571,35079117,35079407	35074243,35074521,35075109,35075352,35075781,35076055,35076610,35076897,35077128,35077426,35078370,35078763,35079268,35079969	nan	FANCG	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0
2176	FANCC;NM_000136.3	9	-	97863958	98080021	97863958	98080021	15	97863958,97869317,97873714,97876880,97879566,97887337,97888780,97897597,97912174,97933330,97934288,98002900,98009683,98011378,98079777	97864162,97869581,97873949,97877022,97879702,97887497,97888893,97897814,97912399,97933455,97934459,98003055,98009828,98011681,98080021	nan	FANCC	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
675	BRCA2;NM_000059.4	13	+	32889614	32972937	32889614	32972937	27	32889614,32890528,32893183,32899182,32900207,32900348,32900605,32903549,32905025,32906378,32910371,32918664,32920933,32928967,32930534,32931848,32936629,32937285,32944508,32945062,32950776,32953423,32953856,32954113,32968795,32971004,32972268	32889834,32890694,32893492,32899351,32900317,32900449,32900780,32903659,32905197,32907554,32915363,32918820,32921063,32929455,32930776,32932096,32936860,32937700,32944724,32945267,32950958,32953682,32954080,32954312,32969100,32971211,32972937	nan	BRCA2	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55215	FANCI;NM_001113378.2	15	+	89787179	89859720	89787179	89859720	38	89787179,89790829,89801904,89803913,89804785,89805021,89806619,89807103,89807722,89811599,89816577,89817368,89819911,89821887,89824370,89824965,89826336,89828296,89833413,89834813,89835888,89836142,89837033,89838115,89843000,89843500,89844526,89847064,89848315,89848541,89848805,89849207,89850676,89850813,89856104,89857812,89858482,89859597	89787294,89790992,89802037,89804104,89805002,89805139,89806721,89807287,89807868,89811786,89816730,89817565,89820152,89822035,89824561,89825096,89826511,89828479,89833542,89834975,89836125,89836324,89837258,89838355,89843227,89843646,89844703,89847176,89848503,89848670,89848959,89849455,89850790,89850933,89856233,89857968,89858650,89859720	nan	FANCI	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
641	BLM;NM_000057.4	15	+	91260546	91358539	91260546	91358539	22	91260546,91290588,91292566,91294986,91298010,91303346,91303793,91306165,91308495,91310109,91312332,91312637,91326021,91328120,91333848,91337366,91341389,91346720,91347366,91352336,91354404,91358301	91260701,91290750,91293327,91295206,91298198,91303539,91304515,91306417,91308674,91310283,91312491,91312846,91326188,91328341,91334104,91337617,91341597,91346980,91347619,91352519,91354666,91358539	nan	BLM	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84464	SLX4;NM_032444.4	16	-	3632312	3661637	3632312	3661637	15	3632312,3633067,3634739,3638972,3642669,3644423,3645575,3646123,3647349,3647767,3650949,3652088,3656444,3658400,3661530	3632724,3633541,3634902,3641341,3642896,3644630,3645724,3646424,3647726,3648030,3651222,3652338,3656729,3659597,3661637	nan	SLX4	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
