#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonSEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
4595	MUTYH;NM_001128425.1	1	-	45794927	45806192	45794927	45806192	16	45794927,45796137,45796803,45797041,45797282,45797644,45797787,45798012,45798195,45798384,45798539,45798718,45798906,45799034,45800012,45805840	45795159,45796279,45797056,45797278,45797571,45797808,45798032,45798210,45798409,45798556,45798681,45798892,45799046,45799325,45800233,45806192	nan	MUTYH	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4072	EPCAM;NM_002354.3	2	+	47596399	47613802	47596399	47613802	9	47596399,47600551,47600896,47602322,47604102,47606041,47606857,47612254,47613660	47596770,47600759,47601237,47602488,47604266,47606243,47607158,47612399,47613802	nan	EPCAM	nan	nan	0,0,0,0,0,0,0,0,0
4436	MSH2;NM_000251.3	2	+	47630244	47710138	47630244	47710138	16	47630244,47635489,47637182,47639502,47641357,47643384,47656830,47672636,47690119,47693746,47698053,47702113,47703455,47705360,47707784,47709867	47630591,47635744,47637561,47639749,47641607,47643618,47657130,47672846,47690343,47693997,47698251,47702459,47703760,47705708,47708060,47710138	nan	MSH2	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2956	MSH6;NM_000179.2	2	+	48010170	48034049	48010170	48034049	10	48010170,48018015,48022982,48025699,48030508,48031998,48032706,48033292,48033540,48033867	48010682,48018312,48023252,48028344,48030874,48032216,48032896,48033547,48033840,48034049	nan	MSH6	nan	nan	0,0,0,0,0,0,0,0,0,0
4292	MLH1;NM_000249.3	3	+	37034790	37092194	37034790	37092194	19	37034790,37038059,37042395,37045841,37048431,37050254,37053260,37053451,37055872,37058946,37061750,37067077,37070224,37081626,37083708,37088959,37089957,37090344,37091926	37035204,37038250,37042594,37046015,37048604,37050446,37053403,37053640,37056085,37059140,37062004,37067548,37070473,37081835,37083872,37089224,37090150,37090558,37092194	nan	MLH1	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4437	MSH3;NM_002439.5	5	+	79950420	80171731	79950420	80171731	24	79950420,79952179,79960911,79965865,79968012,79968509,79970751,79974695,80021221,80024619,80037232,80040274,80057314,80063701,80064603,80071462,80074488,80083333,80088501,80109352,80149898,80160581,80168884,80171519	79950833,79952400,79961232,79966178,79968229,79968727,79970997,79974962,80021434,80024834,80037417,80040484,80057547,80063989,80064872,80071627,80074705,80083541,80088713,80109610,80150185,80160811,80169156,80171731	nan	MSH3	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324	APC;NM_000038.6	5	+	112073531	112179873	112073531	112179873	16	112073531,112090519,112101972,112102835,112111275,112116436,112128092,112136925,112151141,112154612,112157542,112162754,112163575,112164502,112170597,112173199	112073672,112090772,112102157,112103137,112111484,112116650,112128276,112137130,112151340,112155091,112157738,112162994,112163753,112164719,112170912,112179873	nan	APC	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5395	PMS2;NM_000535.7	7	-	6012979	6048730	6012979	6048730	15	6012979,6017168,6018176,6022404,6026339,6029380,6031553,6035114,6036906,6038688,6042033,6043270,6043552,6045472,6048577	6013223,6017438,6018377,6022672,6027301,6029636,6031738,6035314,6037104,6038956,6042317,6043473,6043739,6045712,6048730	nan	PMS2	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
657	BMPR1A;NM_004329.2	10	+	88516345	88683526	88516345	88683526	13	88516345,88598571,88635573,88649768,88651833,88659500,88659733,88671946,88676840,88678878,88681226,88683082,88683300	88516726,88598786,88635892,88650031,88652036,88659697,88659933,88672191,88677133,88679276,88681502,88683313,88683526	nan	BMPR1A	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0
5728	PTEN;NM_000314.8	10	+	89623331	89725279	89623331	89725279	9	89623331,89653731,89685219,89690752,89692719,89711824,89717559,89720600,89724993	89624355,89653916,89685364,89690896,89693058,89712066,89717826,89720925,89725279	nan	PTEN	nan	nan	0,0,0,0,0,0,0,0,0
