#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonSEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
127534	GJB4;NM_153212.2	1	+	35226845	35227666	35226845	35227666	1	35226845	35227666	nan	GJB4	nan	nan	0
2707	GJB3;NM_024009.2	1	+	35250353	35251186	35250353	35251186	1	35250353	35251186	nan	GJB3	nan	nan	0
10269	ZMPSTE24;NM_005857.4	1	+	40723933	40758351	40723933	40758351	10	40723933,40726500,40733447,40734080,40735636,40737555,40747004,40751586,40756515,40758106	40724076,40726667,40733554,40734217,40735809,40737717,40747209,40751711,40756679,40758351	nan	ZMPSTE24	nan	nan	0,0,0,0,0,0,0,0,0,0
2312	FLG;NM_002016.1	1	-	152275165	152287942	152275165	152287942	2	152275165,152287784	152287233,152287942	nan	FLG	nan	nan	0,0
4014	LOR;NM_000427.2	1	+	153233415	153234374	153233415	153234374	1	153233415	153234374	nan	LOR	nan	nan	0
2629	GBA;NM_000157.3	1	-	155204775	155210913	155204775	155210913	11	155204775,155204975,155205461,155206025,155207121,155207914,155208297,155209396,155209666,155210410,155210866	155204901,155205112,155205645,155206270,155207379,155208107,155208451,155209563,155209878,155210518,155210913	nan	GBA	nan	nan	0,0,0,0,0,0,0,0,0,0,0
7840	ALMS1;NM_015120.4	2	+	73612986	73836749	73612986	73836749	23	73612986,73635739,73646240,73649974,73651547,73653570,73659315,73675079,73682278,73716750,73746891,73761940,73777383,73784336,73786088,73799378,73826517,73827794,73828311,73829301,73830357,73835591,73836684	73613330,73635885,73646456,73650112,73652040,73653691,73659429,73681204,73682432,73718635,73747153,73762086,73777574,73784491,73786279,73800561,73826658,73828018,73828573,73829505,73830441,73835711,73836749	nan	ALMS1	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2071	ERCC3;NM_000122.1	2	-	128015161	128051667	128015161	128051667	15	128015161,128016861,128018793,128028901,128030430,128036738,128038012,128044268,128046225,128046902,128047254,128047789,128050175,128051078,128051619	128015313,128017034,128018932,128029039,128030547,128036961,128038217,128044603,128046450,128047087,128047410,128047859,128050432,128051304,128051667	nan	ERCC3	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8540	AGPS;NM_003659.3	2	+	178257507	178402933	178257507	178402933	20	178257507,178284986,178299044,178301481,178301697,178305682,178307124,178310263,178326610,178333133,178346776,178357865,178362406,178364335,178370223,178372687,178378536,178385986,178388465,178402791	178257787,178285096,178299155,178301622,178301792,178305774,178307224,178310364,178326756,178333262,178346924,178357937,178362503,178364468,178370313,178372769,178378646,178386106,178388543,178402933	nan	AGPS	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26154	ABCA12;NM_173076.2	2	-	215797347	216002941	215797347	216002941	53	215797347,215798791,215802223,215807638,215809714,215812135,215813309,215813753,215815592,215818567,215819915,215821376,215822990,215823737,215831561,215833433,215834986,215838662,215839491,215840498,215843029,215843517,215845196,215846900,215848360,215851255,215852360,215854042,215854265,215855415,215862408,215865418,215866271,215868922,215872440,215875044,215876152,215876684,215880203,215882721,215884049,215884253,215890386,215891533,215896534,215901666,215910550,215914339,215917200,215919286,215928778,215976309,216002852	215797475,215798949,215802349,215807751,215809838,215812290,215813471,215813883,215815817,215818841,215820095,215821512,215823188,215823812,215831687,215833541,215835134,215838776,215839598,215840771,215843200,215843774,215845377,215847117,215848599,215851462,215852527,215854197,215854355,215855765,215862543,215865754,215866471,215869033,215872580,215875204,215876383,215876869,215880397,215882866,215884182,215884530,215890513,215891672,215896630,215901799,215910749,215914545,215917318,215919398,215928952,215976423,216002941	nan	ABCA12	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285362	SUMF1;NM_182760.3	3	-	4403817	4508939	4403817	4508939	9	4403817,4418003,4452538,4458801,4459683,4461737,4490939,4494549,4508649	4403948,4418083,4452672,4458936,4459826,4461840,4491034,4494743,4508939	nan	SUMF1	nan	nan	0,0,0,0,0,0,0,0,0
51099	ABHD5;NM_016006.5	3	+	43732474	43760034	43732474	43760034	7	43732474,43740757,43743696,43753190,43756428,43759152,43759924	43732541,43740863,43744089,43753365,43756560,43759359,43760034	nan	ABHD5	nan	nan	0,0,0,0,0,0,0
1475	CSTA;NM_005213.3	3	+	122044129	122060424	122044129	122060424	3	122044129,122056383,122060275	122044215,122056505,122060424	nan	CSTA	nan	nan	0,0,0
