"DOC333	Revision1			",,,,
"Instructions:		",,,,
All transcripts and gene symbols must be confirmed by a Clinical Scientist. ,,,,
Check if transcript is available in DSS if not use MANE.,,,,
"Create bedfile Pan number in Moka.	",,,,
"Answer following questions				",,,,
"Please save this as a CSV file.				",,,,
"				",,,,
"1. Pan number of bed file to be created	PanXXXX			",,,,
"2. Panel description/name (fill in a-c from Moka)				",,,,
"2. a) Category	 eg capture kit			",,,,
"2. b) SubCategory	 description of what is included, eg padding, UTR inclusion (or not),  intronic BED files,  any modifications from an existing BED file",,,,
"2. c) Panel	 Category and subcategory combined			",,,,
"3a). Is this BED file used for Exome depth?	Yes/No			",Yes,,,
"3b). Is this BED file used to generate read counts or filter calls?	Yes/No/N/A			","Yes, filter calls",,,
"4. a) Is this BED file exclusively based on coordinates provided by a supplier? 	Yes/No/N/A			",No,,,
"4. b) If yes does this need further padding?	Yes/No/N/A			",N/A,,,
"5. a) Should specific transcripts be used to create the bed file? (as opposed to all transcripts for a gene)	Yes/No/N/A			",Yes,,,
"5. b) If specific transcripts are to be used have you provided multiple transcripts for the same gene? (if Yes please state)	Yes/No/N/A			",Yes,,,
"6. What padding is required around the exons?(usually 10, 30 or 50bp)",0,,,
"7. a) Should UTRs be included for ALL genes?	Yes/No			",No,,,
"7. b) Should UTRs be padded? and if so by how much	Yes(10/30/50bp)/No/N/A			",No,,,
"8. a) Are UTRs required for SOME genes? 	Yes/No			",No,,,
"8. b) Please list genes/transcripts	Yes/No/N/A			",N/A,,,
"8. c) Should UTRs be padded? and if so by how much	Yes(10/30/50bp)/No/N/A			",N/A,,,
"9. Any additional BED files to be included in this BED file?	 (eg intronic region BED files, SNP sites,  CNV control sites etc)	",No,,,
"10. Are any further regions required to be added?	Yes/No			",Yes,,,
"11. Are there any regions in the below transcripts that should be excluded?	 			",No,,,
"Requested by:				",Heidi Kuoppamaa,,,
"Requested date:				",12/12/2025,,,
"				",,,,
"Please list gene and transcripts below.				",,,,
,,,,
"Gene Name				",Transcript,,,
ABCB6,NM_005689.4,,,
ADAM10,NM_001110.4,,,
ADAR,NM_001111.5,,,
ANAPC1,NM_022662.4,,,
AP3B1,NM_003664.5,,,
ARSL,NM_000047.3,,,
BAP1,NM_004656.4,,,
BRAF,NM_004333.6,NM_001374258.1,,
BRCA1,NM_007294.4,,,
BRCA2,NM_000059.4,,,
BRIP1,NM_032043.3,,,
CBL,NM_005188.4,,,
CDK4,NM_000075.4,,,
CDKN2A,NM_000077.5,NM_058195.4,,
CIB1,NM_006384.4,,,
COX7B,NM_001866.3,,,
DDX3X,NM_001356.5,,,
DKC1,NM_001363.5,,,
EDN3,NM_207034.3,,,
EDNRB,NM_001122659.3,,,
ENPP1,NM_006208.3,,,
ERCC4,NM_005236.3,,,
FAM111B,NM_198947.4,,,
FANCA,NM_000135.4,,,
FANCB,NM_001018113.3,,,
FANCC,NM_000136.3,,,
FANCD2,NM_001018115.3,,,
FANCE,NM_021922.3,,,
FANCF,NM_022725.4,,,
FANCG,NM_004629.2,,,
FANCI,NM_001113378.2,,,
FANCL,NM_018062.4,,,
FGF23,NM_020638.3,,,
GALNT3,NM_004482.4,,,
GJA1,NM_000165.5,,,
GJB3,NM_024009.3,,,
GJB4,NM_153212.3,,,
GPNMB,NM_002510.3,,,
HCCS,NM_005333.5,,,
HPS1,NM_000195.5,,,
HRAS,NM_005343.4,NM_176795.5,,
KIT,NM_000222.3,,,
KITLG,NM_000899.5,,,
KRAS,NM_004985.5,NM_033360.4,,
KRT10,NM_000421.5,,,
KRT14,NM_000526.5,,,
KRT5,NM_000424.4,,,
LYST,NM_000081.4,,,
LZTR1,NM_006767.4,,,
MAP2K1,NM_002755.4,,,
MAP2K2,NM_030662.4,,,
MITF,NM_001354604.2,NM_000248.4,,
MLH1,NM_000249.4,,,
MSH2,NM_000251.3,,,
MSH6,NM_000179.3,,,
MTOR,NM_004958.4,,,
MYO5A,NM_001382347.1,,,
NF1,NM_001042492.3,,,
NF2,NM_000268.4,,,
NRAS,NM_002524.5,,,
OCA2,NM_000275.3,,,
OSMR,NM_003999.3,,,
PALB2,NM_024675.4,,,
PAX3,NM_181458.4,,,
PHF6,NM_001015877.2,,,
PIK3CA,NM_006218.4,,,
PMS2,NM_000535.7,,,
POFUT1,NM_015352.2,,,
POGLUT1,NM_152305.3,,,
PORCN,NM_203475.3,,,
PPP1CB,NM_002709.3,,,
PRKAR1A,NM_002734.5,,,
PSENEN,NM_172341.4,ENST00000587708.2,,
PTEN,NM_000314.8,,,
PTPN11,NM_002834.5,,,
RAB27A,NM_183235.3,,,
RAF1,NM_002880.4,,,
RECQL4,NM_004260.4,,,
RIT1,NM_006912.6,,,
SAMD9,NM_017654.4,,,
SASH1,NM_015278.5,,,
SHOC2,NM_007373.4,,,
SLC24A5,NM_205850.3,,,
SLC29A3,NM_018344.6,,,
SLC45A2,NM_016180.5,,,
SLX4,NM_032444.4,,,
SMARCAL1,NM_014140.4,,,
SOS1,NM_005633.4,ENST00000426016.1,,
SOS2,NM_006939.4,,,
SOX10,NM_006941.4,,,
SOX18,NM_018419.3,,,
SPRED1,NM_152594.3,,,
STK11,NM_000455.5,,,
TERC,NR_001566.3,,,
TERT,NM_198253.3,,,
TFE3,NM_006521.6,,,
TINF2,NM_001099274.3,,,
TMC6,NM_001127198.5,,,
TMC8,NM_152468.5,,,
TSC1,NM_000368.5,,,
TSC2,NM_000548.5,,,
TYR,NM_000372.5,,,
TYRP1,NM_000550.3,,,
UBE2T,NM_014176.4,,,
USB1,NM_024598.4,,,
USP9X,NM_001039591.3,,,
WRAP53,NM_001143992.2,ENST00000316024.5,,
LMNA,NM_170707.4,NM_005572.4,,
,,,,
Regions,,,,
BRCA1_IN12_2,chr17:41233848-41234008,,,
BRCA1_PM_5_1,chr17:41281042-41281202,,,
BRCA1_3UTR,chr17:41196302-41196421,,,
BRCA1_IN12_1,chr17:41234197-41234357,,,
BRCA1_IN11_1,chr17:41234663-41234823,,,
BRCA1_IN11_2,chr17:41235012-41235172,,,
BRCA1_PM_5_2,chr17:41286238-41286398,,,
BRCA1_PM_5_3,chr17:41297651-41297811,,,
BRCA1_PM_5_4,chr17:41322636-41322796,,,
