#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonSEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
26119	LDLRAP1;NM_015627.3	1	+	25870046	25893533	25870046	25893533	9	25870046,25880362,25881300,25883593,25889084,25889510,25890101,25891613,25893288	25870327,25880605,25881513,25883808,25889257,25889694,25890332,25891748,25893533	nan	LDLRAP1	nan	nan	0,0,0,0,0,0,0,0,0
255738	PCSK9;NM_174936.4	1	+	55505170	55529307	55505170	55529307	12	55505170,55509465,55512145,55517900,55518272,55521615,55522953,55523658,55524121,55525108,55526997,55528991	55505767,55509757,55512369,55518134,55518514,55521912,55523237,55523932,55524370,55525386,55527279,55529307	nan	PCSK9	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0
34	ACADM;NM_000016.6	1	+	76190343	76228498	76190343	76228498	12	76190343,76194035,76198278,76198487,76199162,76200425,76205614,76211440,76215053,76216085,76226756,76228326	76190552,76194223,76198476,76198657,76199363,76200606,76205845,76211649,76215294,76216281,76227105,76228498	nan	ACADM	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0
2153	F5;NM_000130.5	1	-	169483500	169555769	169483500	169555769	25	169483500,169484631,169487599,169489707,169492384,169492988,169494024,169495088,169497102,169498795,169499973,169505693,169509481,169513483,169515629,169518988,169519827,169521744,169524369,169525833,169528340,169529741,169541408,169551618,169555416	169483747,169484914,169487851,169489952,169492640,169493192,169494196,169495305,169497382,169499106,169500310,169505968,169512402,169513796,169515880,169519303,169520027,169522022,169524635,169526155,169528584,169530054,169541631,169551810,169555769	nan	F5	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2165	F13B;NM_001994.3	1	-	197008457	197036440	197008457	197036440	12	197008457,197009601,197019776,197021713,197024794,197026092,197026365,197029445,197029978,197030863,197031936,197036239	197008591,197009915,197020059,197022014,197025077,197026378,197026645,197029722,197030255,197031149,197032237,197036440	nan	F13B	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0
338	APOB;NM_000384.3	2	-	21224551	21266995	21224551	21266995	29	21224551,21227090,21227382,21227901,21235981,21237269,21237894,21238191,21239260,21241813,21242544,21245652,21246346,21247754,21249609,21250649,21251148,21252460,21252719,21255175,21256120,21257637,21258405,21259921,21260779,21263759,21265182,21266334,21266685	21226256,21227374,21227597,21235573,21236455,21237515,21238182,21238467,21239571,21242035,21242827,21245964,21246614,21248046,21249886,21250987,21251460,21252707,21252937,21255503,21256440,21257823,21258630,21260177,21261033,21264005,21265398,21266473,21266995	nan	APOB	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90411	MCFD2;NM_139279.6	2	-	47132551	47142995	47132551	47142995	4	47132551,47134898,47136111,47142811	47132783,47135158,47136366,47142995	nan	MCFD2	nan	nan	0,0,0,0
2677	GGCX;NM_000821.7	2	-	85777006	85788666	85777006	85788666	15	85777006,85777627,85777997,85778552,85778884,85779488,85780011,85780304,85781215,85782556,85783254,85785512,85785989,85787887,85788458	85777299,85777923,85778245,85778783,85779154,85779740,85780243,85780670,85781479,85782763,85783433,85785778,85786248,85788158,85788666	nan	GGCX	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5624	PROC;NM_000312.4	2	+	128175952	128186572	128175952	128186572	9	128175952,128177447,128178808,128180442,128180559,128180799,128183610,128184630,128185882	128176118,128177638,128179075,128180567,128180797,128181034,128183853,128184848,128186572	nan	PROC	nan	nan	0,0,0,0,0,0,0,0,0
5627	PROS1;NM_000313.4	3	-	93593038	93692790	93593038	93692790	15	93593038,93595759,93597956,93603521,93605129,93611726,93615369,93617241,93619597,93624577,93624814,93629412,93643033,93646043,93692467	93593299,93596085,93598208,93603790,93605397,93612016,93615585,93617463,93619823,93624809,93625037,93629599,93643158,93646301,93692790	nan	PROS1	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
