#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonSEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
23095	KIF1B;NM_015074.3	1	+	10270753	10436655	10270753	10436655	47	10270753,10292297,10316294,10318540,10321952,10327427,10328199,10331549,10332288,10335475,10336368,10338033,10342447,10351129,10352094,10355133,10355707,10356629,10356944,10357221,10380090,10381756,10383931,10384805,10386158,10394567,10396704,10397121,10397418,10399816,10402097,10403279,10405892,10407808,10408696,10412678,10420976,10421739,10423330,10425147,10425456,10428514,10431188,10434363,10434901,10435302,10436592	10270946,10292502,10316391,10318740,10322038,10327626,10328331,10331647,10332374,10335571,10336467,10338196,10342601,10351229,10352190,10355233,10355834,10356733,10357145,10357314,10380204,10381925,10384130,10384963,10386427,10394706,10396810,10397271,10397601,10399927,10402236,10403355,10406021,10407895,10408801,10412804,10421111,10421893,10423412,10425313,10425716,10428606,10431330,10434533,10435114,10435441,10436655	nan	KIF1B	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6390	SDHB;NM_003000.3	1	-	17345365	17380537	17345365	17380537	8	17345365,17349092,17350457,17354233,17355084,17359544,17371245,17380432	17345463,17349235,17350579,17354370,17355241,17359650,17371393,17380537	nan	SDHB	nan	nan	0,0,0,0,0,0,0,0
4595	MUTYH;NM_001128425.1	1	-	45794967	45806152	45794967	45806152	16	45794967,45796177,45796843,45797081,45797322,45797684,45797827,45798052,45798235,45798424,45798579,45798758,45798946,45799074,45800052,45805880	45795119,45796239,45797016,45797238,45797531,45797768,45797992,45798170,45798369,45798516,45798641,45798852,45799006,45799285,45800193,45806152	nan	MUTYH	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6391	SDHC;NM_003001.3	1	+	161284155	161332233	161284155	161332233	6	161284155,161293393,161298175,161310373,161326456,161332108	161284225,161293470,161298297,161310455,161326640,161332233	nan	SDHC	nan	nan	0,0,0,0,0,0
79577	CDC73;NM_024529.4	1	+	193091077	193219852	193091077	193219852	17	193091077,193094231,193099293,193104510,193104656,193107204,193110969,193116986,193119423,193121499,193172914,193181184,193181509,193202112,193205375,193218849,193219795	193091471,193094357,193099383,193104593,193104729,193107313,193111206,193117105,193119522,193121584,193172992,193181240,193181617,193202294,193205496,193219011,193219852	nan	CDC73	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2271	FH;NM_000143.3	1	-	241661117	241683095	241661117	241683095	10	241661117,241663726,241665732,241667331,241669292,241671892,241675256,241676892,241680471,241682880	241661280,241663900,241665880,241667555,241669478,241672095,241675453,241677023,241680626,241683095	nan	FH	nan	nan	0,0,0,0,0,0,0,0,0,0
4072	EPCAM;NM_002354.3	2	+	47596439	47613762	47596439	47613762	9	47596439,47600591,47600936,47602362,47604142,47606081,47606897,47612294,47613700	47596730,47600719,47601197,47602448,47604226,47606203,47607118,47612359,47613762	nan	EPCAM	nan	nan	0,0,0,0,0,0,0,0,0
4436	MSH2;NM_000251.3	2	+	47630284	47710098	47630284	47710098	16	47630284,47635529,47637222,47639542,47641397,47643424,47656870,47672676,47690159,47693786,47698093,47702153,47703495,47705400,47707824,47709907	47630551,47635704,47637521,47639709,47641567,47643578,47657090,47672806,47690303,47693957,47698211,47702419,47703720,47705668,47708020,47710098	nan	MSH2	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2956	MSH6;NM_000179.2	2	+	48010210	48034009	48010210	48034009	10	48010210,48018055,48023022,48025739,48030548,48032038,48032746,48033332,48033580,48033907	48010642,48018272,48023212,48028304,48030834,48032176,48032856,48033507,48033800,48034009	nan	MSH6	nan	nan	0,0,0,0,0,0,0,0,0,0
55654	TMEM127;NM_017849.3	2	-	96919535	96931761	96919535	96931761	4	96919535,96920560,96930865,96931596	96919863,96920745,96931260,96931761	nan	TMEM127	nan	nan	0,0,0,0
7428	VHL;NM_000551.3	3	+	10183308	10191659	10183308	10191659	3	10183308,10188187,10191460	10183881,10188330,10191659	nan	VHL	nan	nan	0,0,0
4292	MLH1;NM_000249.3	3	+	37034830	37092154	37034830	37092154	19	37034830,37038099,37042435,37045881,37048471,37050294,37053300,37053491,37055912,37058986,37061790,37067117,37070264,37081666,37083748,37088999,37089997,37090384,37091966	37035164,37038210,37042554,37045975,37048564,37050406,37053363,37053600,37056045,37059100,37061964,37067508,37070433,37081795,37083832,37089184,37090110,37090518,37092154	nan	MLH1	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
