Transcript	GeneName
NM_001014431	AKT1
NM_004304	ALK
NM_001127511	APC
NM_000044	AR
NM_001256196	ARAF
NM_006015	ARID1A
NM_000051	ATM
NM_004329	BMPR1A
NM_004333	BRAF
NM_007297	BRCA1
NM_000059	BRCA2
NM_032043	BRIP1
NM_015083	CDK12
NM_000077	CDKN2A
NM_145862	CHEK2
NM_001098209	CTNNB1
NM_003467	CXCR4
NM_006182	DDR2
NM_005228	EGFR
NM_002354	EPCAM
NM_001289936	ERBB2
NM_001005915	ERBB3
NM_001042599	ERBB4
NM_000125	ESR1
NM_033632	FBXW7
NM_001174066	FGFR1
NM_001144913	FGFR2
NM_000142	FGFR3
NM_000143	FH
NM_001002295	GATA3
NM_002072	GNAQ
NM_016592	GNAS
NM_013372	GREM1
NM_005343	HRAS
NM_001282386	IDH1
NM_001289910	IDH2
NM_000222	KIT
NM_004985	KRAS
NM_002755	MAP2K1
NM_030662	MAP2K2
NM_000245	MET
NM_000249	MLH1
NM_000251	MSH2
NM_000179	MSH6
NM_001128425	MUTYH
NM_001172567	MYD88
NM_000267	NF1
NM_002524	NRAS
NM_001007792	NTRK1
NM_006180	NTRK2
NM_001012338	NTRK3
NM_024675	PALB2
NM_006206	PDGFRA
NM_006218	PIK3CA
NM_000535	PMS2
NM_002691	POLD1
NM_006231	POLE
NM_000314	PTEN
NM_002880	RAF1
NM_000321	RB1
NM_058216	RAD51C
NM_002878	RAD51D
NM_020630	RET
NM_017763	RNF43
NM_002944	ROS1
NM_001294332	SDHA
NM_003000	SDHB
NM_001035511	SDHC
NM_001276503	SDHD
NM_005359	SMAD4
NM_001128845	SMARCA4
NM_000455	STK11
NM_001204863	TCEB1
NM_001126118	TP53
NM_001162427	TSC1
NM_000548	TSC2
NM_000551	VHL
