#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonSEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
8764	TNFRSF14;NM_003820.3	1	+	2488093	2494722	2488093	2494722	8	2488093,2489154,2489771,2491251,2492052,2493101,2494293,2494576	2488182,2489283,2489917,2491427,2492163,2493264,2494345,2494722	nan	TNFRSF14	nan	nan	0,0,0,0,0,0,0,0
54206	ERRFI1;NM_018948.4	1	-	8073259	8075689	8073259	8075689	3	8073259,8075357,8075544	8074466,8075454,8075689	nan	ERRFI1	nan	nan	0,0,0
5293	PIK3CD;NM_005026.5	1	+	9770503	9787114	9770503	9787114	22	9770503,9775588,9775896,9776487,9777006,9777584,9778741,9779968,9780159,9780658,9780789,9781174,9781491,9781808,9782022,9782291,9782575,9783172,9784016,9784323,9784851,9786956	9770664,9775837,9776146,9776687,9777176,9777694,9778983,9780085,9780310,9780729,9780977,9781316,9781655,9781928,9782221,9782424,9782674,9783360,9784160,9784489,9785004,9787114	nan	PIK3CD	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2475	MTOR;NM_004958.4	1	-	11167531	11319476	11167531	11319476	57	11167531,11168227,11169336,11169695,11172898,11174364,11174859,11175442,11177050,11181292,11182025,11184544,11186668,11187056,11187670,11188050,11188500,11188901,11189784,11190575,11193126,11194397,11199350,11199579,11204694,11205014,11206722,11210172,11217198,11227488,11259304,11259587,11264607,11269358,11270860,11272358,11272842,11273445,11276194,11288714,11290971,11291346,11292482,11293444,11294189,11297889,11298448,11300349,11301599,11303160,11307671,11307865,11313885,11316038,11316979,11318531,11319294	11167567,11168353,11169437,11169796,11172984,11174520,11174954,11175535,11177153,11181435,11182193,11184700,11186863,11187211,11187873,11188193,11188619,11189018,11189905,11190844,11193264,11194533,11199502,11199725,11204822,11205112,11206858,11210293,11217358,11227584,11259470,11259770,11264770,11269525,11270973,11272541,11272975,11273633,11276301,11288985,11291121,11291501,11292595,11293554,11294332,11298115,11298684,11300614,11301748,11303367,11307800,11308161,11314040,11316259,11317232,11318660,11319476	nan	MTOR	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23013	SPEN;NM_015001.3	1	+	16174552	16265932	16174552	16265932	15	16174552,16199300,16202686,16235805,16237585,16242612,16245410,16245888,16247354,16248733,16254575,16263647,16264296,16265202,16265780	16174655,16199641,16203183,16235986,16237806,16242784,16245556,16246022,16247488,16248854,16262771,16264150,16264511,16265381,16265932	nan	SPEN	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6390	SDHB;NM_003000.3	1	-	17345365	17380524	17345365	17380524	8	17345365,17349092,17350457,17354233,17355084,17359544,17371245,17380432	17345463,17349235,17350579,17354370,17355241,17359650,17371393,17380524	nan	SDHB	nan	nan	0,0,0,0,0,0,0,0
5081	PAX7;NM_001135254.2	1	+	18958087	19071433	18958087	19071433	9	18958087,18960786,18961594,18962720,19018237,19027136,19029577,19062115,19071297	18958192,18961042,18961744,18962875,19018457,19027322,19029800,19062382,19071433	nan	PAX7	nan	nan	0,0,0,0,0,0,0,0,0
3399	ID3;NM_002167.5	1	-	23885440	23885927	23885440	23885927	2	23885440,23885607	23885520,23885927	nan	ID3	nan	nan	0,0
8289	ARID1A;NM_006015.6	1	+	27022884	27107257	27022884	27107257	20	27022884,27056131,27057632,27059156,27087336,27087864,27088632,27089453,27092701,27092937,27094270,27097599,27098980,27099292,27099826,27100060,27100282,27100809,27102057,27105503	27024041,27056364,27058105,27059293,27087597,27087974,27088820,27089786,27092867,27093067,27094500,27097827,27099133,27099488,27099997,27100218,27100399,27101721,27102208,27107257	nan	ARID1A	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83931	STK40;NM_001282547.2	1	-	36807345	36826943	36807345	36826943	10	36807345,36808954,36809450,36809710,36814290,36819954,36820796,36823829,36824327,36826811	36807584,36809059,36809590,36809875,36814426,36820027,36821044,36823993,36824433,36826943	nan	STK40	nan	nan	0,0,0,0,0,0,0,0,0,0
1441	CSF3R;NM_000760.4	1	-	36931947	36945107	36931947	36945107	15	36931947,36932820,36933148,36933412,36933665,36934746,36935242,36937023,36937656,36937828,36938107,36939025,36939354,36940967,36945023	36932438,36932922,36933262,36933573,36933832,36934868,36935451,36937257,36937750,36938002,36938297,36939233,36939498,36941284,36945107	nan	CSF3R	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4610	MYCL;NM_001033081.3	1	-	40363033	40367116	40363033	40367116	2	40363033,40366600	40363652,40367116	nan	MYCL	nan	nan	0,0
4352	MPL;NM_005373.3	1	+	43803509	43818453	43803509	43818453	12	43803509,43803759,43804202,43804931,43805624,43806047,43812105,43812452,43814503,43814923,43817876,43818178	43803608,43803912,43804401,43805250,43805807,43806194,43812310,43812615,43814683,43815040,43817984,43818453	nan	MPL	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0
4595	MUTYH;NM_001048174.2	1	-	45794967	45800187	45794967	45800187	15	45794967,45796177,45796843,45797081,45797322,45797684,45797827,45798052,45798235,45798424,45798579,45798758,45798946,45799074,45800052	45795119,45796239,45797016,45797238,45797531,45797768,45797992,45798170,45798369,45798516,45798641,45798852,45799006,45799243,45800187	nan	MUTYH	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8503	PIK3R3;NM_003629.4	1	-	46509334	46597634	46509334	46597634	10	46509334,46511579,46512212,46521456,46527590,46531715,46532572,46543176,46546303,46597508	46509553,46511770,46512307,46521653,46527753,46531861,46532773,46543295,46546432,46597634	nan	PIK3R3	nan	nan	0,0,0,0,0,0,0,0,0,0
8438	RAD54L;NM_003579.4	1	+	46714067	46743964	46714067	46743964	18	46714067,46714173,46715661,46724347,46725625,46726203,46726388,46726922,46733120,46736320,46738127,46738333,46739016,46739285,46739799,46740199,46743478,46743733	46714090,46714280,46715801,46724428,46725781,46726293,46726697,46727067,46733291,46736467,46738222,46738484,46739147,46739429,46739898,46740399,46743662,46743964	nan	RAD54L	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1031	CDKN2C;NM_078626.3	1	+	51436030	51439952	51436030	51439952	2	51436030,51439554	51436179,51439952	nan	CDKN2C	nan	nan	0,0
3725	JUN;NM_002228.4	1	-	59247736	59248752	59247736	59248752	1	59247736	59248752	nan	JUN	nan	nan	0
3716	JAK1;NM_002227.4	1	-	65300234	65351957	65300234	65351957	24	65300234,65301068,65301770,65303604,65304137,65305275,65306917,65307123,65309736,65310426,65311185,65312321,65313204,65316476,65321181,65323328,65325777,65330459,65332538,65334983,65339042,65344697,65348949,65351931	65300350,65301199,65301908,65303797,65304282,65305488,65307032,65307294,65309908,65310582,65311333,65312429,65313368,65316603,65321391,65323472,65325955,65330665,65332901,65335167,65339216,65344841,65349168,65351957	nan	JAK1	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257194	NEGR1;NM_173808.3	1	-	71873118	72748187	71873118	72748187	7	71873118,72058489,72076698,72163680,72241844,72400751,72747991	71873263,72058661,72076839,72163832,72241990,72401004,72748187	nan	NEGR1	nan	nan	0,0,0,0,0,0,0
8880	FUBP1;NM_003902.5	1	-	78414440	78444698	78414440	78444698	20	78414440,78414829,78420929,78422246,78425858,78426018,78428444,78429248,78429736,78429928,78430320,78430544,78430742,78432367,78432557,78432722,78433300,78433838,78435598,78444558	78414469,78414995,78421024,78422395,78425958,78426190,78428625,78429410,78429857,78430051,78430442,78430663,78430925,78432445,78432649,78432795,78433360,78433897,78435709,78444698	nan	FUBP1	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8915	BCL10;NM_003921.5	1	-	85733299	85742045	85733299	85742045	3	85733299,85736290,85741968	85733675,85736599,85742045	nan	BCL10	nan	nan	0,0,0
4893	NRAS;NM_002524.5	1	-	115251145	115258791	115251145	115258791	4	115251145,115252179,115256410,115258660	115251285,115252359,115256609,115258791	nan	NRAS	nan	nan	0,0,0,0
79679	VTCN1;NM_024626.4	1	-	117690269	117753487	117690269	117753487	5	117690269,117695702,117699185,117712718,117753435	117690414,117696001,117699553,117712803,117753487	nan	VTCN1	nan	nan	0,0,0,0,0
54855	TENT5C;NM_017709.4	1	+	118165480	118166676	118165480	118166676	1	118165480	118166676	nan	TENT5C	nan	nan	0
3283	HSD3B1;NM_000862.3	1	+	120050089	120057278	120050089	120057278	3	120050089,120054115,120056446	120050254,120054300,120057278	nan	HSD3B1	nan	nan	0,0,0
4853	NOTCH2;NM_024408.4	1	-	120457918	120612030	120457918	120612030	34	120457918,120460277,120461018,120461924,120462841,120464325,120464848,120465248,120466249,120467917,120469111,120471588,120478084,120479894,120480469,120483167,120484138,120491026,120491619,120493336,120496155,120497652,120502004,120506186,120508065,120508988,120510045,120510689,120512123,120529572,120539609,120547941,120572518,120611937	120459327,120460395,120461186,120462246,120463030,120464442,120465079,120465411,120466617,120468443,120469244,120471845,120478237,120480099,120480643,120483389,120484387,120491199,120491759,120493470,120496321,120497865,120502135,120506440,120508199,120509122,120510254,120510865,120512377,120529715,120539965,120548221,120572620,120612030	nan	NOTCH2	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
653604	H3C13;NM_001123375.3	1	-	149784815	149785246	149784815	149785246	1	149784815	149785246	nan	H3C13	nan	nan	0
4170	MCL1;NM_021960.5	1	-	150549840	150552016	150549840	150552016	3	150549840,150550709,150551308	150549977,150550977,150552016	nan	MCL1	nan	nan	0,0,0
6016	RIT1;NM_006912.6	1	-	155870168	155880562	155870168	155880562	5	155870168,155874091,155874511,155880230,155880436	155870419,155874303,155874605,155880307,155880562	nan	RIT1	nan	nan	0,0,0,0,0
4914	NTRK1;NM_002529.3	1	+	156830716	156851444	156830716	156851444	17	156830716,156834135,156834509,156836691,156837885,156838286,156841404,156843414,156844164,156844352,156844687,156845301,156845861,156846181,156848903,156849780,156851238	156830948,156834230,156834601,156836780,156838051,156838449,156841557,156843761,156844202,156844428,156844810,156845468,156846012,156846374,156849164,156849959,156851444	nan	NTRK1	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6708	SPTA1;NM_003126.4	1	-	158581043	158656317	158581043	158656317	52	158581043,158582596,158583500,158584032,158584995,158587316,158587818,158589001,158589949,158592762,158595925,158596618,158597404,158604322,158605692,158606420,158607812,158609361,158609649,158612190,158612593,158613101,158614032,158614967,158615274,158617318,158618288,158619635,158621146,158622246,158623053,158624390,158626343,158627256,158631066,158632481,158636095,158637637,158639187,158639488,158641122,158641838,158644108,158644319,158645920,158647469,158648180,158650362,158651306,158653150,158654887,158656273	158581189,158582761,158583667,158584106,158585203,158587388,158587856,158589134,158590266,158592992,158596022,158596807,158597523,158604475,158605834,158606561,158608041,158609486,158609807,158612342,158612776,158613225,158614196,158615185,158615394,158617520,158618453,158619747,158621268,158622453,158623225,158624548,158626456,158627494,158631209,158632745,158636297,158637862,158639363,158639586,158641253,158641996,158644230,158644475,158646095,158647634,158648334,158650529,158651467,158653296,158655147,158656317	nan	SPTA1	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6391	SDHC;NM_003001.5	1	+	161284185	161332233	161284185	161332233	6	161284185,161293393,161298175,161310373,161326456,161332108	161284225,161293470,161298297,161310455,161326640,161332233	nan	SDHC	nan	nan	0,0,0,0,0,0
