"DOC333	Revision1			",,
"Instructions:		",,
All transcripts and gene symbols must be confirmed by a Clinical Scientist. ,,
Check if transcript is available in DSS if not use MANE.,,
"Create bedfile Pan number in Moka.	",,
"Answer following questions				",,
"Please save this as a CSV file.				",,
"				",,
"1. Pan number of bed file to be created	PanXXXX			",Pan5344,
"2. Panel description/name (fill in a-c from Moka)				",CP205 CNV BED- R332 Dec2025 CNV calling,
"2. a) Category	 eg capture kit			","no padding, 5UTR",
"2. b) SubCategory	 description of what is included, eg padding, UTR inclusion (or not),  intronic BED files,  any modifications from an existing BED file",,
"2. c) Panel	 Category and subcategory combined			",,
"3a). Is this BED file used for Exome depth?	Yes/No			",Yes,
"3b). Is this BED file used to generate read counts or filter calls?	Yes/No/N/A			","Yes, filter calls",
"4. a) Is this BED file exclusively based on coordinates provided by a supplier? 	Yes/No/N/A			",No,
"4. b) If yes does this need further padding?	Yes/No/N/A			",N/A,
"5. a) Should specific transcripts be used to create the bed file? (as opposed to all transcripts for a gene)	Yes/No/N/A			",Yes,
"5. b) If specific transcripts are to be used have you provided multiple transcripts for the same gene? (if Yes please state)	Yes/No/N/A			",Yes,
"6. What padding is required around the exons?(usually 10, 30 or 50bp)",0,
"7. a) Should UTRs be included for ALL genes?	Yes/No			",No,
"7. b) Should UTRs be padded? and if so by how much	Yes(10/30/50bp)/No/N/A			",No,
"8. a) Are UTRs required for SOME genes? 	Yes/No			",No,
"8. b) Please list genes/transcripts	Yes/No/N/A			",N/A,
"8. c) Should UTRs be padded? and if so by how much	Yes(10/30/50bp)/No/N/A			",N/A,
"9. Any additional BED files to be included in this BED file?	 (eg intronic region BED files, SNP sites,  CNV control sites etc)	",No,
"10. Are any further regions required to be added?	Yes/No			",No,
"11. Are there any regions in the below transcripts that should be excluded?	 			",No,
"Requested by:				",Heidi Kuoppamaa,
"Requested date:				",12/12/2025,
"				",,
"Please list gene and transcripts below.				",,
,,
"Gene Name				",Transcript,
ADA2,NM_001282225.2,
AIRE,NM_000383.4,
CARD11,NM_032415.7,
CARD14,NM_001366385.1,
CARD9,NM_052813.5,
DOCK8,NM_203447.4,
ECM1,NM_004425.4,
EGFR,NM_005228.5,
FDPS,NM_002004.4,
GJA1,NM_000165.5,
GJB3,NM_024009.3,
GJB4,NM_153212.3,
IL1RN,NM_173842.3,
IL36RN,NM_012275.3,
KIT,NM_000222.3,
MVD,NM_002461.3,
NCSTN,NM_015331.3,
NLRP3,NM_001243133.2,
NOD2,NM_001370466.1,
NSDHL,NM_015922.3,
OSMR,NM_003999.3,
PSENEN,NM_172341.4,ENST00000587708.2
RAG1,NM_000448.3,
RAG2,NM_000536.4,
RNU12,NR_029422.2,
SAMHD1,NM_015474.4,
SH3PXD2B,NM_001017995.3,
SLC39A4,NM_130849.4,
STAT3,NM_139276.3,
STING1,NM_198282.4,
TREX1,NM_033629.6,
GNB1,NM_002074.5,
NLRP1,NM_033004.4,
