#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonSEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
6390	SDHB;NM_003000.3	1	-	17345220	17380527	17345220	17380527	8	17345220,17349092,17350457,17354233,17355084,17359544,17371245,17380432	17345463,17349235,17350579,17354370,17355241,17359650,17371393,17380527	nan	SDHB	nan	nan	0,0,0,0,0,0,0,0
8289	ARID1A;NM_006015.6	1	+	27022505	27108595	27022505	27108595	20	27022505,27056131,27057632,27059156,27087336,27087864,27088632,27089453,27092701,27092937,27094270,27097599,27098980,27099292,27099826,27100060,27100282,27100809,27102057,27105503	27024041,27056364,27058105,27059293,27087597,27087974,27088820,27089786,27092867,27093067,27094500,27097827,27099133,27099488,27099997,27100218,27100399,27101721,27102208,27108595	nan	ARID1A	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4893	NRAS;NM_002524.5	1	-	115247089	115259392	115247089	115259392	7	115247089,115250764,115251141,115252179,115256410,115258660,115259268	115250681,115250823,115251285,115252359,115256609,115258808,115259392	nan	NRAS	nan	nan	0,0,0,0,0,0,0
4914	NTRK1;NM_001007792.1	1	+	156785541	156851642	156785541	156851642	17	156785541,156811862,156834135,156834509,156836691,156837885,156838286,156841404,156843414,156844352,156844687,156845301,156845861,156846181,156848903,156849780,156851238	156785640,156811995,156834230,156834601,156836780,156838051,156838449,156841557,156843761,156844428,156844810,156845468,156846012,156846374,156849164,156849959,156851642	nan	NTRK1	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6391	SDHC;NM_001035511.2	1	+	161284170	161345130	161284170	161345130	5	161284170,161293393,161298175,161310373,161332108	161284225,161293470,161298297,161310455,161345130	nan	SDHC	nan	nan	0,0,0,0,0
4921	DDR2;NM_006182.4	1	+	162602253	162757195	162602253	162757195	18	162602253,162624990,162688816,162722874,162724403,162724935,162725443,162729575,162730990,162735780,162737008,162740081,162741803,162743248,162745431,162745915,162748359,162749891	162602431,162625174,162688945,162722997,162724655,162725103,162725569,162729779,162731254,162735863,162737159,162740312,162742047,162743396,162745643,162746170,162748529,162757195	nan	DDR2	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238	ALK;NM_004304.5	2	-	29415639	30144452	29415639	30144452	29	29415639,29419625,29420397,29430026,29432641,29436839,29443561,29445199,29445372,29446197,29448316,29449777,29450429,29451739,29455159,29456420,29462535,29473960,29497954,29498257,29519743,29541159,29543606,29551205,29606587,29754770,29917705,29940433,30142848	29416798,29419736,29420552,29430148,29432754,29436957,29443711,29445284,29445483,29446404,29448441,29449950,29450548,29451942,29455324,29456572,29462706,29474143,29498103,29498372,29519933,29541280,29543758,29551357,29606735,29754992,29917890,29940573,30144452	nan	ALK	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4072	EPCAM;NM_002354.3	2	+	47596449	47614159	47596449	47614159	9	47596449,47600591,47600936,47602362,47604142,47606081,47606897,47612294,47613700	47596730,47600719,47601197,47602448,47604226,47606203,47607118,47612359,47614159	nan	EPCAM	nan	nan	0,0,0,0,0,0,0,0,0
4436	MSH2;NM_000251.3	2	+	47630294	47710362	47630294	47710362	16	47630294,47635529,47637222,47639542,47641397,47643424,47656870,47672676,47690159,47693786,47698093,47702153,47703495,47705400,47707824,47709907	47630551,47635704,47637521,47639709,47641567,47643578,47657090,47672806,47690303,47693957,47698211,47702419,47703720,47705668,47708020,47710362	nan	MSH2	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2956	MSH6;NM_000179.3	2	+	48010283	48034092	48010283	48034092	10	48010283,48018055,48023022,48025739,48030548,48032038,48032746,48033332,48033580,48033907	48010642,48018272,48023212,48028304,48030834,48032176,48032856,48033507,48033800,48034092	nan	MSH6	nan	nan	0,0,0,0,0,0,0,0,0,0
7852	CXCR4;NM_003467.3	2	-	136871918	136875719	136871918	136875719	2	136871918,136875605	136873492,136875719	nan	CXCR4	nan	nan	0,0
3417	IDH1;NM_001282386.1	2	-	209100950	209119182	209100950	209119182	10	209100950,209103784,209104576,209106707,209108140,209110032,209113082,209116143,209118599,209119056	209101903,209103967,209104737,209106879,209108338,209110158,209113394,209116301,209118693,209119182	nan	IDH1	nan	nan	0,0,0,0,0,0,0,0,0,0
2066	ERBB4;NM_001042599.1	2	-	212240441	213403352	212240441	213403352	27	212240441,212251567,212285155,212286721,212288869,212293122,212295659,212426617,212483891,212488636,212495176,212522468,212530037,212537878,212543766,212566681,212568818,212570032,212576764,212578249,212587107,212589790,212615353,212652739,212812144,212989466,213403162	212248795,212251885,212285346,212286839,212289036,212293218,212295835,212426823,212484010,212488779,212495329,212522563,212530212,212537992,212543919,212566901,212568929,212570126,212576911,212578383,212587269,212589929,212615439,212652894,212812351,212989638,213403352	nan	ERBB4	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7428	VHL;NM_000551.4	3	+	10183461	10195350	10183461	10195350	3	10183461,10188187,10191460	10183881,10188330,10195350	nan	VHL	nan	nan	0,0,0
5894	RAF1;NM_002880.4	3	-	12625099	12705616	12625099	12705616	17	12625099,12626335,12626610,12627169,12629079,12632286,12633196,12641179,12641640,12641876,12645624,12647689,12650254,12650721,12653438,12660003,12705301	12626166,12626490,12626762,12627308,12629146,12632483,12633301,12641317,12641788,12641924,12645798,12647808,12650432,12650844,12653571,12660256,12705616	nan	RAF1	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4292	MLH1;NM_000249.4	3	+	37035008	37092337	37035008	37092337	19	37035008,37038099,37042435,37045881,37048471,37050294,37053300,37053491,37055912,37058986,37061790,37067117,37070264,37081666,37083748,37088999,37089997,37090384,37091966	37035164,37038210,37042554,37045975,37048564,37050406,37053363,37053600,37056045,37059100,37061964,37067508,37070433,37081795,37083832,37089184,37090110,37090518,37092337	nan	MLH1	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4615	MYD88;NM_001172567.2	3	+	38180151	38184512	38180151	38184512	5	38180151,38181344,38181868,38182237,38182612	38180529,38181499,38182093,38182349,38184512	nan	MYD88	nan	nan	0,0,0,0,0
1499	CTNNB1;NM_001098209.2	3	+	41240995	41281934	41240995	41281934	16	41240995,41265501,41266006,41266434,41266814,41267140,41268688,41274821,41275009,41275619,41277204,41277829,41278068,41279496,41280614,41281140	41241171,41265582,41266254,41266708,41267073,41267362,41268853,41274945,41275368,41275798,41277344,41278000,41278210,41279577,41280855,41281934	nan	CTNNB1	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5290	PIK3CA;NM_006218.4	3	+	178866144	178957881	178866144	178957881	21	178866144,178916527,178917467,178919067,178921321,178922280,178927372,178927963,178928208,178935987,178936973,178937348,178937726,178938763,178941858,178942477,178943739,178947049,178947781,178948002,178951871	178866401,178916975,178917697,178919338,178921587,178922386,178927498,178928136,178928363,178936132,178937075,178937533,178937850,178938955,178941985,178942619,178943838,178947240,178947919,178948174,178957881	nan	PIK3CA	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2261	FGFR3;NM_000142.5	4	+	1795019	1810594	1795019	1810594	18	1795019,1795549,1800970,1801463,1803083,1803336,1803551,1805408,1806046,1806540,1807071,1807275,1807466,1807767,1807973,1808262,1808545,1808832	1795202,1795780,1801260,1801549,1803273,1803480,1803762,1805573,1806257,1806706,1807213,1807406,1807677,1807910,1808064,1808420,1808671,1810594	nan	FGFR3	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5156	PDGFRA;NM_006206.6	4	+	55095459	55164412	55095459	55164412	23	55095459,55124913,55127251,55129823,55131075,55133445,55133708,55136789,55138550,55139693,55140687,55140997,55143544,55144052,55144518,55146472,55151527,55151997,55153586,55154955,55155165,55156469,55161281	55095592,55124994,55127589,55130104,55131226,55133637,55133918,55136925,55138697,55139907,55140802,55141150,55143669,55144183,55144692,55146659,55151663,55152140,55153718,55155075,55155291,55156731,55164412	nan	PDGFRA	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3815	KIT;NM_000222.3	4	+	55524123	55606881	55524123	55606881	21	55524123,55561667,55564439,55565785,55569879,55573253,55575579,55589739,55592012,55593373,55593571,55593978,55594166,55595490,55597483,55598026,55599225,55602653,55602876,55603330,55604584	55524258,55561957,55564741,55565942,55570068,55573463,55575715,55589874,55592226,55593500,55593718,55594103,55594297,55595661,55597595,55598174,55599368,55602785,55602996,55603456,55606881	nan	KIT	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55294	FBXW7;NM_033632.3	4	-	153242409	153456185	153242409	153456185	12	153242409,153245325,153247147,153249349,153250813,153251873,153253737,153258943,153268071,153271183,153332444,153456082	153244311,153245556,153247393,153249551,153250947,153252030,153253881,153259098,153268233,153271286,153333034,153456185	nan	FBXW7	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0
6389	SDHA;NM_001294332.1	5	+	218337	257197	218337	257197	14	218337,223586,224464,225987,228289,230980,233581,235248,236532,240462,251096,251442,254497,256438	218543,223693,224646,226172,228458,231125,233770,235464,236724,240601,251228,251593,254631,257197	nan	SDHA	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0
324	APC;NM_001127511.3	5	+	112043194	112181936	112043194	112181936	14	112043194,112102012,112102875,112111315,112116476,112136965,112151181,112154652,112157582,112162794,112163615,112164542,112170637,112173239	112043589,112102117,112103097,112111444,112116610,112137090,112151300,112155051,112157698,112162954,112163713,112164679,112170872,112181936	nan	APC	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0
6098	ROS1;NM_002944.3	6	-	117608515	117747105	117608515	117747105	43	117608515,117622126,117629946,117631233,117632172,117638295,117639340,117641020,117642411,117645484,117647376,117650481,117658324,117662287,117662552,117663552,117665212,117674142,117677781,117678956,117680961,117681494,117683755,117686212,117686733,117687228,117700211,117704469,117706835,117708041,117708932,117710502,117714376,117715314,117715768,117717340,117718067,117724291,117725432,117730734,117737410,117739614,117746686	117609975,117622310,117630101,117631454,117632290,117638445,117639425,117641203,117642567,117645588,117647587,117650619,117658513,117662484,117662805,117663717,117665435,117674342,117678088,117679182,117681184,117681578,117684038,117686377,117686914,117687463,117700332,117704681,117707034,117708172,117709207,117711019,117714494,117715519,117715911,117717437,117718289,117724450,117725601,117730815,117737490,117739679,117747105	nan	ROS1	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2099	ESR1;NM_000125.4	6	+	152128816	152424408	152128816	152424408	8	152128816,152163721,152201779,152265297,152332780,152382115,152415509,152419856	152129509,152163932,152201916,152265653,152332939,152382269,152415713,152424408	nan	ESR1	nan	nan	0,0,0,0,0,0,0,0
5395	PMS2;NM_000535.7	7	-	6010555	6048680	6010555	6048680	15	6010555,6017208,6018216,6022444,6026379,6029420,6031593,6035154,6036946,6038728,6042073,6043310,6043592,6045512,6048617	6013183,6017398,6018337,6022632,6027261,6029596,6031698,6035274,6037064,6038916,6042277,6043433,6043699,6045672,6048680	nan	PMS2	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956	EGFR;NM_005228.5	7	+	55086709	55279321	55086709	55279321	28	55086709,55209968,55210987,55214288,55218976,55220228,55221693,55223512,55224215,55224441,55225345,55227821,55229181,55231415,55232962,55238857,55240665,55241603,55242404,55248975,55259401,55260448,55266399,55267998,55268870,55269417,55270199,55272938	55087068,55210140,55211191,55214443,55219065,55220367,55221855,55223649,55224362,55224535,55225456,55228041,55229334,55231526,55233140,55238916,55240827,55241746,55242523,55249181,55259577,55260544,55266566,55268116,55269058,55269485,55270328,55279321	nan	EGFR	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4233	MET;NM_000245.4	7	+	116312249	116438431	116312249	116438431	21	116312249,116339114,116371711,116379993,116380895,116395398,116397480,116397681,116398502,116399434,116403093,116409688,116411541,116411892,116414924,116417432,116418819,116422031,116423347,116435698,116435930	116312641,116340348,116371923,116380148,116381089,116395579,116397603,116397838,116398684,116399554,116403332,116409855,116411718,116412053,116415175,116417533,116419021,116422161,116423533,116435855,116438431	nan	MET	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
673	BRAF;NM_004333.6	7	-	140430464	140624729	140430464	140624729	18	140430464,140439601,140449076,140453064,140453976,140476701,140477780,140481365,140482810,140487337,140494097,140500151,140501201,140507749,140508681,140534398,140549900,140624355	140434580,140439756,140449228,140453203,140454043,140476898,140477885,140481503,140482967,140487394,140494277,140500291,140501370,140507872,140508805,140534682,140550022,140624729	nan	BRAF	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2260	FGFR1;NM_001174066.2	8	-	38268660	38325242	38268660	38325242	17	38268660,38271425,38271659,38272066,38272286,38273377,38274813,38275377,38275735,38277040,38279304,38282016,38283629,38285428,38285853,38314863,38325179	38271332,38271551,38271817,38272157,38272429,38273588,38274944,38275519,38275901,38277263,38279469,38282227,38283773,38285621,38285963,38315062,38325242	nan	FGFR1	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6921	ELOC;NM_001204863.2	8	-	74857370	74884426	74857370	74884426	3	74857370,74868135,74884301	74859065,74868299,74884426	nan	ELOC	nan	nan	0,0,0
1029	CDKN2A;NM_000077.5	9	-	21967750	21974856	21967750	21974856	3	21967750,21970890,21974666	21968251,21971217,21974856	nan	CDKN2A	nan	nan	0,0,0
2776	GNAQ;NM_002072.5	9	-	80331023	80646727	80331023	80646727	7	80331023,80343419,80409368,80412425,80430521,80537066,80646005	80336439,80343593,80409518,80412574,80430696,80537271,80646727	nan	GNAQ	nan	nan	0,0,0,0,0,0,0
4915	NTRK2;NM_006180.6	9	+	87284643	87641967	87284643	87641967	19	87284643,87285281,87317063,87317252,87322748,87325541,87338477,87339128,87342558,87356796,87359877,87366890,87475944,87482147,87549066,87563366,87570187,87635110,87636156	87284813,87285885,87317158,87317344,87322837,87325716,87338634,87339281,87342884,87356852,87359998,87367010,87476012,87482356,87549217,87563559,87570442,87635289,87641967	nan	NTRK2	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7248	TSC1;NM_001162427.2	9	-	135766735	135820003	135766735	135820003	22	135766735,135772560,135772799,135776091,135776965,135777981,135779027,135779787,135780957,135782107,135782677,135785947,135786378,135786829,135787658,135796739,135797195,135798724,135802577,135804143,135810409,135819919	135772151,135772742,135773007,135776234,135777096,135778184,135779214,135779851,135781536,135782232,135782767,135786089,135786510,135786965,135787854,135796833,135797370,135798889,135802701,135804349,135810492,135820003	nan	TSC1	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2625	GATA3;NM_001002295.2	10	+	8096650	8117161	8096650	8117161	6	8096650,8097239,8100257,8105945,8111425,8115691	8096864,8097869,8100814,8106111,8111571,8117161	nan	GATA3	nan	nan	0,0,0,0,0,0
