Transcripts	GeneName
NM_000028	AGL
NM_000034	ALDOA
NM_000035	ALDOB
NM_001976	ENO3
NM_005670	EPM2A
NM_000507	FBP1
NM_000151	G6PC
NM_000152	GAA
NM_000158	GBE1
NM_004130	GYG1
NM_003918	GYG2
NM_002103	GYS1
NM_021957	GYS2
NM_002294	LAMP2
NM_005566	LDHA
NM_001127605	LIPA 
NM_198586	NHLRC1
NM_002626	PFKL
NM_000289	PFKM
NM_000290	PGAM2
NM_000291	PGK1
NM_002633	PGM1
NM_002637	PHKA1
NM_000292	PHKA2
NM_000293	PHKB
NM_006213	PHKG1
NM_000294	PHKG2
NM_006241	PPP1R2
NM_016203	PRKAG2
NM_002863	PYGL
NM_005609	PYGM
NM_000340	SLC37A4
NM_001467	SLC2A2
